id,tree_id,grove_name,survey_year,dbh_cm,prefire_status,postfire_status,measure_delay,fire_id,fire_year,fire_name,cbi,rdnbr,unit_name,source,geometry
1352,AC082,Alder Creek,2021,83.5,1,0,1,2020CASTLE,2020,Castle,4,957,Giant Sequoia National Monument,"UCB, Hardlund","c(122489.040706235, -202134.719697272)"
1361,AC092,Alder Creek,2021,103.2,1,0,1,2020CASTLE,2020,Castle,4,1065,Giant Sequoia National Monument,"UCB, Hardlund","c(122483.977281555, -201940.483134781)"
1363,AC108S,Alder Creek,2021,283.3,1,0,1,2020CASTLE,2020,Castle,4,1174,Giant Sequoia National Monument,"UCB, Hardlund","c(122623.83657739, -201587.395148617)"
1367,AC111S,Alder Creek,2021,110.3,1,0,1,2020CASTLE,2020,Castle,4,1019,Giant Sequoia National Monument,"UCB, Hardlund","c(122427.350984835, -201790.948437694)"
1369,AC113S,Alder Creek,2021,366.1,1,0,1,2020CASTLE,2020,Castle,4,998,Giant Sequoia National Monument,"UCB, Hardlund","c(122267.085947756, -202066.515848183)"
1379,AC109S,Alder Creek,2021,124.1,1,0,1,2020CASTLE,2020,Castle,4,1097,Giant Sequoia National Monument,"UCB, Hardlund","c(122542.016106387, -201655.089413282)"
1380,AC112S,Alder Creek,2021,327.9,1,0,1,2020CASTLE,2020,Castle,4,869,Giant Sequoia National Monument,"UCB, Hardlund","c(122331.629014674, -202085.537922576)"
1383,AC116S,Alder Creek,2021,397.9,1,0,1,2020CASTLE,2020,Castle,4,1032,Giant Sequoia National Monument,"UCB, Hardlund","c(122565.743619258, -202031.112600369)"
1399,AC114S,Alder Creek,2021,146.4,1,0,1,2020CASTLE,2020,Castle,4,1061,Giant Sequoia National Monument,"UCB, Hardlund","c(122485.602069203, -201992.538177122)"
1403,AC107,Alder Creek,2021,359.7,1,0,1,2020CASTLE,2020,Castle,4,908,Giant Sequoia National Monument,"UCB, Hardlund","c(122387.623821276, -202086.790972869)"
1519,AC110S,Alder Creek,2021,131.5,1,0,1,2020CASTLE,2020,Castle,4,1105,Giant Sequoia National Monument,"UCB, Hardlund","c(122545.354524092, -201666.007306709)"
1520,AC081,Alder Creek,2021,112.1,1,0,1,2020CASTLE,2020,Castle,4,1067,Giant Sequoia National Monument,"UCB, Hardlund","c(122574.415265594, -202020.820737899)"
1523,AC115S,Alder Creek,2021,171.9,1,0,1,2020CASTLE,2020,Castle,4,1061,Giant Sequoia National Monument,"UCB, Hardlund","c(122494.804892492, -201999.264310688)"
1529,AC108,Alder Creek,2021,210.1,1,0,1,2020CASTLE,2020,Castle,4,908,Giant Sequoia National Monument,"UCB, Hardlund","c(122387.530085709, -202083.787799445)"
1530,AC109,Alder Creek,2021,337.4,0,0,1,2020CASTLE,2020,Castle,4,1039,Giant Sequoia National Monument,"UCB, Hardlund","c(122387.311369264, -202076.780394705)"
1555,AC093,Alder Creek,2021,261.3,1,0,1,2020CASTLE,2020,Castle,4,946,Giant Sequoia National Monument,"UCB, Hardlund","c(122329.126160695, -201941.323091309)"
1556,AC094,Alder Creek,2021,354.9,1,0,1,2020CASTLE,2020,Castle,4,989,Giant Sequoia National Monument,"UCB, Hardlund","c(122335.148426444, -201974.201742212)"
1557,AC095,Alder Creek,2021,103.5,1,0,1,2020CASTLE,2020,Castle,4,1106,Giant Sequoia National Monument,"UCB, Hardlund","c(122387.586095427, -201957.529481222)"
1558,AC096,Alder Creek,2021,124.1,1,0,1,2020CASTLE,2020,Castle,4,1106,Giant Sequoia National Monument,"UCB, Hardlund","c(122370.708241743, -201928.998837471)"
1559,AC044,Alder Creek,2021,321.5,1,0,1,2020CASTLE,2020,Castle,4,1147,Giant Sequoia National Monument,"UCB, Hardlund","c(122332.708003589, -201831.988976709)"
1560,AC015,Alder Creek,2021,464.7,0,0,1,2020CASTLE,2020,Castle,4,998,Giant Sequoia National Monument,"UCB, Hardlund","c(122606.107142619, -201979.747036156)"
1561,AC016,Alder Creek,2021,380.4,1,0,1,2020CASTLE,2020,Castle,4,1048,Giant Sequoia National Monument,"UCB, Hardlund","c(122572.976301409, -201942.706900558)"
1562,AC078,Alder Creek,2021,167.5,1,0,1,2020CASTLE,2020,Castle,4,1148,Giant Sequoia National Monument,"UCB, Hardlund","c(122521.163529056, -201979.40037055)"
1563,AC079,Alder Creek,2021,114,1,0,1,2020CASTLE,2020,Castle,4,1148,Giant Sequoia National Monument,"UCB, Hardlund","c(122519.292045579, -201983.467110811)"
1564,AC080,Alder Creek,2021,378.8,1,0,1,2020CASTLE,2020,Castle,4,1031,Giant Sequoia National Monument,"UCB, Hardlund","c(122560.254149425, -202047.317054432)"
1565,AC029,Alder Creek,2021,129,1,0,1,2020CASTLE,2020,Castle,4,917,Giant Sequoia National Monument,"UCB, Hardlund","c(122603.789931764, -201809.473221052)"
1566,AC030,Alder Creek,2021,119.5,1,0,1,2020CASTLE,2020,Castle,4,917,Giant Sequoia National Monument,"UCB, Hardlund","c(122594.120065349, -201819.796352248)"
1567,AC031,Alder Creek,2021,110.5,1,0,1,2020CASTLE,2020,Castle,4,917,Giant Sequoia National Monument,"UCB, Hardlund","c(122606.690891566, -201806.376281449)"
1568,AC032,Alder Creek,2021,127,1,0,1,2020CASTLE,2020,Castle,4,1070,Giant Sequoia National Monument,"UCB, Hardlund","c(122587.224507063, -201790.953153296)"
1569,AC033,Alder Creek,2021,106,1,0,1,2020CASTLE,2020,Castle,4,1070,Giant Sequoia National Monument,"UCB, Hardlund","c(122577.242173805, -201791.265691303)"
1570,AC034,Alder Creek,2021,107,1,0,1,2020CASTLE,2020,Castle,4,995,Giant Sequoia National Monument,"UCB, Hardlund","c(122553.098756653, -201818.074575279)"
1571,AC035,Alder Creek,2021,104,1,0,1,2020CASTLE,2020,Castle,4,840,Giant Sequoia National Monument,"UCB, Hardlund","c(122538.686037722, -201804.497297601)"
1572,AC060,Alder Creek,2021,351.7,1,0,1,2020CASTLE,2020,Castle,4,1143,Giant Sequoia National Monument,"UCB, Hardlund","c(122596.330253619, -201730.545789859)"
1573,AC061,Alder Creek,2021,348.5,1,0,1,2020CASTLE,2020,Castle,4,1143,Giant Sequoia National Monument,"UCB, Hardlund","c(122596.330253619, -201730.545789859)"
1574,AC062,Alder Creek,2021,133,1,0,1,2020CASTLE,2020,Castle,4,962,Giant Sequoia National Monument,"UCB, Hardlund","c(122563.265241848, -201759.638090848)"
1575,AC063,Alder Creek,2021,132.5,1,0,1,2020CASTLE,2020,Castle,4,962,Giant Sequoia National Monument,"UCB, Hardlund","c(122563.421476344, -201764.643387841)"
1576,AC064,Alder Creek,2021,192.2,1,0,1,2020CASTLE,2020,Castle,4,1070,Giant Sequoia National Monument,"UCB, Hardlund","c(122584.88432471, -201780.004007469)"
1577,AC065,Alder Creek,2021,107,1,0,1,2020CASTLE,2020,Castle,4,1070,Giant Sequoia National Monument,"UCB, Hardlund","c(122582.327080926, -201794.112600452)"
1578,AC066,Alder Creek,2021,112.9,1,0,1,2020CASTLE,2020,Castle,4,917,Giant Sequoia National Monument,"UCB, Hardlund","c(122600.826478242, -201810.568041782)"
1579,AC067,Alder Creek,2021,131.5,1,0,1,2020CASTLE,2020,Castle,4,917,Giant Sequoia National Monument,"UCB, Hardlund","c(122600.826478242, -201810.568041782)"
1580,AC068,Alder Creek,2021,120,1,0,1,2020CASTLE,2020,Castle,4,956,Giant Sequoia National Monument,"UCB, Hardlund","c(122580.894718009, -201844.259326079)"
1581,AC069,Alder Creek,2021,108,1,0,1,2020CASTLE,2020,Castle,4,885,Giant Sequoia National Monument,"UCB, Hardlund","c(122540.246710478, -201822.485108871)"
1582,AC070,Alder Creek,2021,104.5,1,0,1,2020CASTLE,2020,Castle,4,885,Giant Sequoia National Monument,"UCB, Hardlund","c(122544.987903759, -201814.320367582)"
1583,AC071,Alder Creek,2021,134,1,0,1,2020CASTLE,2020,Castle,4,840,Giant Sequoia National Monument,"UCB, Hardlund","c(122529.483212386, -201797.771166212)"
1584,AC072,Alder Creek,2021,108,1,0,1,2020CASTLE,2020,Castle,4,806,Giant Sequoia National Monument,"UCB, Hardlund","c(122547.561573613, -202120.863107104)"
1585,AC073,Alder Creek,2021,102,1,0,1,2020CASTLE,2020,Castle,4,840,Giant Sequoia National Monument,"UCB, Hardlund","c(122520.405374181, -201795.049271545)"
1586,AC074,Alder Creek,2021,122,1,0,1,2020CASTLE,2020,Castle,4,962,Giant Sequoia National Monument,"UCB, Hardlund","c(122549.571199539, -201769.085178888)"
1587,AC075,Alder Creek,2021,117,1,0,1,2020CASTLE,2020,Castle,4,982,Giant Sequoia National Monument,"UCB, Hardlund","c(122546.762314575, -201743.120143129)"
1588,AC076,Alder Creek,2021,117,1,0,1,2020CASTLE,2020,Castle,4,982,Giant Sequoia National Monument,"UCB, Hardlund","c(122545.732834606, -201742.150337627)"
1589,AC077,Alder Creek,2021,103.5,1,0,1,2020CASTLE,2020,Castle,4,816,Giant Sequoia National Monument,"UCB, Hardlund","c(122530.167315284, -201755.664170791)"
1590,AC050,Alder Creek,2021,105.3,1,0,1,2020CASTLE,2020,Castle,4,1166,Giant Sequoia National Monument,"UCB, Hardlund","c(122553.462012406, -201605.631179967)"
1591,AC051,Alder Creek,2021,108,1,0,1,2020CASTLE,2020,Castle,4,1185,Giant Sequoia National Monument,"UCB, Hardlund","c(122543.946712026, -201588.894452512)"
1592,AC052,Alder Creek,2021,107.7,1,0,1,2020CASTLE,2020,Castle,4,1185,Giant Sequoia National Monument,"UCB, Hardlund","c(122530.344739399, -201569.279563489)"
1593,AC053,Alder Creek,2021,496.6,1,0,1,2020CASTLE,2020,Castle,4,1185,Giant Sequoia National Monument,"UCB, Hardlund","c(122530.344739399, -201569.279563489)"
1594,AC054,Alder Creek,2021,391.5,1,0,1,2020CASTLE,2020,Castle,4,1133,Giant Sequoia National Monument,"UCB, Hardlund","c(122511.942458251, -201619.957638795)"
1595,AC055,Alder Creek,2021,184.6,1,0,1,2020CASTLE,2020,Castle,4,1170,Giant Sequoia National Monument,"UCB, Hardlund","c(122588.400157835, -201604.537274002)"
1596,AC056,Alder Creek,2021,144.2,1,0,1,2020CASTLE,2020,Castle,4,1170,Giant Sequoia National Monument,"UCB, Hardlund","c(122588.65013812, -201612.545753604)"
1597,AC057,Alder Creek,2021,296,1,0,1,2020CASTLE,2020,Castle,4,1174,Giant Sequoia National Monument,"UCB, Hardlund","c(122608.583547479, -201610.919603688)"
1598,AC058,Alder Creek,2021,121.7,1,0,1,2020CASTLE,2020,Castle,4,1134,Giant Sequoia National Monument,"UCB, Hardlund","c(122587.124068835, -201659.689330374)"
1599,ACNEW2,Alder Creek,2021,105.3,1,0,1,2020CASTLE,2020,Castle,4,1185,Giant Sequoia National Monument,"UCB, Hardlund","c(122557.111220896, -201594.494503772)"
5790,AC003,Alder Creek,2021,469.5,1,0,4,2017PIER,2017,Pier,2,333,Giant Sequoia National Monument,"UCB, Hardlund","c(122370.129104287, -202198.564659432)"
5791,AC004,Alder Creek,2021,144.8,1,1,4,2017PIER,2017,Pier,1,423,Giant Sequoia National Monument,"UCB, Hardlund","c(122367.351517696, -202173.600727228)"
5792,AC005,Alder Creek,2021,179.8,1,1,4,2017PIER,2017,Pier,2,423,Giant Sequoia National Monument,"UCB, Hardlund","c(122373.559633683, -202180.420618201)"
5793,AC006,Alder Creek,2021,171.9,1,1,4,2017PIER,2017,Pier,2,423,Giant Sequoia National Monument,"UCB, Hardlund","c(122375.493611572, -202178.355999473)"
5794,AC007,Alder Creek,2021,187.8,1,1,4,2017PIER,2017,Pier,1,423,Giant Sequoia National Monument,"UCB, Hardlund","c(122385.757152704, -202187.052997982)"
5795,AC008,Alder Creek,2021,128.9,1,1,4,2017PIER,2017,Pier,2,423,Giant Sequoia National Monument,"UCB, Hardlund","c(122374.028305265, -202195.436479926)"
