id,tree_id,grove,postfire_status,prefire_status,survey_year,fire_yr,measure_delay,fire_id,burnsev,source,geometry
1,Middle Tule22,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119901.922262592, -194255.603167832)"
2,Middle Tule24,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119869.399493184, -194302.00581952)"
3,Middle Tule25,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119859.531275568, -194273.971014922)"
4,Middle Tule26,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119846.795665156, -194282.094093619)"
5,Middle Tule28,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119869.957635378, -194255.893968494)"
6,Middle Tule210,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119867.615557539, -194244.888965711)"
7,Middle Tule211,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119833.785801168, -194249.445185949)"
8,Middle Tule212,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119826.422446464, -194237.627355019)"
9,Middle Tule42,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119922.519367919, -194019.323580291)"
10,Middle Tule43,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119880.223319441, -194040.729748702)"
11,Middle Tule44,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119919.244325156, -194042.428745499)"
12,Middle Tule45,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119921.535637234, -194051.808127289)"
13,Middle Tule46,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119892.764097718, -194058.359397862)"
14,Middle Tule47,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119892.984910391, -194065.429041801)"
15,Middle Tule48,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119889.070680607, -194068.069828819)"
16,Middle Tule49,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119883.693253901, -194055.85434947)"
17,Middle Tule410,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119874.421086888, -194078.893838195)"
18,Middle Tule411,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119861.719409441, -194088.102955894)"
19,Middle Tule412,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119874.427307305, -194079.092994743)"
20,Middle Tule413,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119857.485958367, -194048.533086336)"
21,Middle Tule414,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119860.072592062, -194035.377519041)"
22,Middle Tule415,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119833.239752978, -194008.0284367)"
23,Middle Tule416,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119840.976413201, -193999.807884529)"
24,Middle Tule417,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119856.5140309, -194017.415399713)"
25,Middle Tule418,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119857.451886356, -194015.452081575)"
26,Middle Tule419,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119864.247656185, -194009.097658551)"
27,Middle Tule420,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119875.866845387, -193997.221414828)"
28,Middle Tule421,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119888.656746309, -193990.837063199)"
29,Middle Tule181,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119642.709558443, -192834.467357041)"
30,Middle Tule182,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119711.0328708, -193838.240972319)"
31,Middle Tule183,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119677.767628902, -192869.238081206)"
32,Middle Tule184,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119641.045428541, -192877.152832203)"
33,Middle Tule185,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119628.243018993, -192851.148137615)"
34,Middle Tule186,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119590.014911511, -192842.840658398)"
35,Middle Tule81,Middle Tule,1,1,2022,2020,2,2020CASTLE,4,"USFS, Meyer","c(119024.995054276, -193690.952728913)"
36,Middle Tule101,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119262.544580392, -193426.903733153)"
37,Middle Tule102,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119303.360765503, -193422.103015732)"
38,Middle Tule103,Middle Tule,1,1,2022,2020,2,2020CASTLE,3,"USFS, Meyer","c(119296.795502752, -193467.825791626)"
39,Middle Tule104,Middle Tule,1,1,2022,2020,2,2020CASTLE,3,"USFS, Meyer","c(119255.274135313, -193514.028832161)"
40,Middle Tule105,Middle Tule,0,1,2022,2020,2,2020CASTLE,3,"USFS, Meyer","c(119255.402360704, -193486.144397287)"
41,Middle Tule106,Middle Tule,1,1,2022,2020,2,2020CASTLE,3,"USFS, Meyer","c(119252.398562997, -193485.943476912)"
42,Middle Tule107,Middle Tule,1,1,2022,2020,2,2020CASTLE,3,"USFS, Meyer","c(119230.614636496, -193492.279519951)"
