id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry,tree_number,death_by,pcvs,pcvc,x1999_dbh,x1999_height,x1999_comments,area,perimeter,giant,giant_id,dbh,ht,crowncls,htcb,damdis,folqual,nests,wdpkr,comments,scardbh,scargrnd,scarht,htbranch,toplcrn,leanaz,disth2o,plot,az,dist,gps,distance,az_road,near_fid,near_dist,near_x,near_y,status
Middle Tule21,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,116.18283677107206,0,9.580914183855361,-0,"c(119885.646219918, -194214.353387071)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule22,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,381.33435192258725,0,10.906671759612937,-0,"c(119901.922262592, -194255.603167832)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule23,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,339.63585434173666,0,10.698179271708684,-0,"c(119899.622043306, -194277.929291955)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule24,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,123.18563789152024,0,9.615928189457602,-0,"c(119869.399493184, -194302.00581952)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule25,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,380.37942449707157,0,10.901897122485359,-0,"c(119859.531275568, -194273.971014922)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule26,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,238.73185637891518,0,10.193659281894575,-0,"c(119846.795665156, -194282.094093619)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule27,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,114.27298192004073,0,9.571364909600204,-0,"c(119862.067216319, -194259.191998847)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule28,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,123.18563789152024,0,9.615928189457602,-0,"c(119869.957635378, -194255.893968494)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule29,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,113.63636363636363,0,9.568181818181818,-0,"c(119865.653655752, -194246.056149967)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule210,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,134.32645785586962,0,9.671632289279348,-0,"c(119867.615557539, -194244.888965711)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule211,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,236.50369238604534,0,10.182518461930227,-0,"c(119833.785801168, -194249.445185949)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule212,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,241.27832951362365,0,10.206391647568118,-0,"c(119826.422446464, -194237.627355019)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule31,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,251.78253119429593,0,16.25891265597148,-0,"c(120112.125401443, -194235.637406397)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule32,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,317.990832696715,0,16.589954163483576,-0,"c(120096.362684604, -194242.813935862)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule33,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,267.0613700025465,0,16.33530685001273,-0,"c(120081.027100788, -194295.656319909)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule34,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,297.61904761904765,0,16.488095238095237,-0,"c(120053.00777931, -194262.31135229)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule35,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,267.6979882862236,0,16.338489941431117,-0,"c(120053.012457038, -194262.461118029)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule36,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,124.77718360071302,0,15.623885918003564,-0,"c(120041.895893654, -194226.449566147)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule37,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,101.22230710466005,0,15.506111535523301,-0,"c(120039.903171972, -194226.630018813)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
