id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry
Middle Tule21,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,116.18283677107206,0,9.580914183855361,-0,"c(119885.646219918, -194214.353387071)"
Middle Tule22,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,381.33435192258725,0,10.906671759612937,-0,"c(119901.922262592, -194255.603167832)"
Middle Tule23,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,339.63585434173666,0,10.698179271708684,-0,"c(119899.622043306, -194277.929291955)"
Middle Tule24,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,123.18563789152024,0,9.615928189457602,-0,"c(119869.399493184, -194302.00581952)"
Middle Tule25,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,380.37942449707157,0,10.901897122485359,-0,"c(119859.531275568, -194273.971014922)"
Middle Tule26,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,238.73185637891518,0,10.193659281894575,-0,"c(119846.795665156, -194282.094093619)"
Middle Tule27,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,114.27298192004073,0,9.571364909600204,-0,"c(119862.067216319, -194259.191998847)"
Middle Tule28,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,123.18563789152024,0,9.615928189457602,-0,"c(119869.957635378, -194255.893968494)"
Middle Tule29,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,113.63636363636363,0,9.568181818181818,-0,"c(119865.653655752, -194246.056149967)"
Middle Tule210,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,134.32645785586962,0,9.671632289279348,-0,"c(119867.615557539, -194244.888965711)"
Middle Tule211,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,236.50369238604534,0,10.182518461930227,-0,"c(119833.785801168, -194249.445185949)"
Middle Tule212,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,9,241.27832951362365,0,10.206391647568118,-0,"c(119826.422446464, -194237.627355019)"
Middle Tule31,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,251.78253119429593,0,16.25891265597148,-0,"c(120112.125401443, -194235.637406397)"
Middle Tule32,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,317.990832696715,0,16.589954163483576,-0,"c(120096.362684604, -194242.813935862)"
Middle Tule33,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,267.0613700025465,0,16.33530685001273,-0,"c(120081.027100788, -194295.656319909)"
Middle Tule34,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,297.61904761904765,0,16.488095238095237,-0,"c(120053.00777931, -194262.31135229)"
Middle Tule35,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,267.6979882862236,0,16.338489941431117,-0,"c(120053.012457038, -194262.461118029)"
Middle Tule36,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,124.77718360071302,0,15.623885918003564,-0,"c(120041.895893654, -194226.449566147)"
Middle Tule37,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,101.22230710466005,0,15.506111535523301,-0,"c(120039.903171972, -194226.630018813)"
Middle Tule38,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,392.79348102877515,0,16.963967405143876,-0,"c(120055.109674249, -194201.645513617)"
Middle Tule41,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,210.0840336134454,0,16.050420168067227,-0,"c(119902.055314185, -194003.93991425)"
Middle Tule42,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,211.67557932263813,0,16.05837789661319,-0,"c(119922.519367919, -194019.323580291)"
Middle Tule43,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,203.7178507766743,0,16.01858925388337,-0,"c(119880.223319441, -194040.729748702)"
Middle Tule44,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,220.58823529411765,0,16.102941176470587,-0,"c(119919.244325156, -194042.428745499)"
Middle Tule45,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,334.2245989304813,0,16.671122994652407,-0,"c(119921.535637234, -194051.808127289)"
Middle Tule46,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,206.58263305322131,0,16.032913165266105,-0,"c(119892.764097718, -194058.359397862)"
Middle Tule47,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,194.16857652151768,0,15.970842882607588,-0,"c(119892.984910391, -194065.429041801)"
Middle Tule48,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,291.5711739241151,0,16.457855869620577,-0,"c(119889.070680607, -194068.069828819)"
Middle Tule49,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,163.292589763178,0,15.81646294881589,-0,"c(119883.693253901, -194055.85434947)"
Middle Tule410,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,222.81639928698752,0,16.114081996434937,-0,"c(119874.421086888, -194078.893838195)"
Middle Tule411,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,264.1965877259995,0,16.320982938629996,-0,"c(119861.719409441, -194088.102955894)"
Middle Tule412,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,183.02775655716832,0,15.915138782785842,-0,"c(119874.427307305, -194079.092994743)"
Middle Tule413,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,188.43901196842376,0,15.942195059842119,-0,"c(119857.485958367, -194048.533086336)"
Middle Tule414,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,197.98828622358033,0,15.989941431117902,-0,"c(119860.072592062, -194035.377519041)"
Middle Tule415,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,224.4079449961803,0,16.1220397249809,-0,"c(119833.239752978, -194008.0284367)"
Middle Tule416,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,216.76852559205503,0,16.083842627960276,-0,"c(119840.976413201, -193999.807884529)"
Middle Tule417,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,205.30939648586707,0,16.026546982429334,-0,"c(119856.5140309, -194017.415399713)"
Middle Tule418,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,191.3037942449707,0,15.956518971224854,-0,"c(119857.451886356, -194015.452081575)"
Middle Tule419,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,217.0868347338936,0,16.08543417366947,-0,"c(119864.247656185, -194009.097658551)"
Middle Tule420,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,314.80774127832956,0,16.574038706391647,-0,"c(119875.866845387, -193997.221414828)"
Middle Tule421,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,309.07817672523555,0,16.545390883626176,-0,"c(119888.656746309, -193990.837063199)"
Middle Tule51,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,216.45021645021646,0,16.082251082251084,-0,"c(120092.369194125, -194018.988009917)"
Middle Tule52,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,276.6106442577031,0,16.383053221288517,-0,"c(120102.312915229, -194049.438664298)"
Middle Tule53,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,407.1173924115101,0,17.03558696205755,-0,"c(120090.472802799, -194086.231733963)"
Middle Tule54,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,391.2019353195824,0,16.956009676597912,-0,"c(120083.519145914, -194087.531405941)"
Middle Tule55,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,275.6557168321874,0,16.378278584160938,-0,"c(120044.198490671, -194044.249982158)"
Middle Tule56,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,145.14896867838044,0,15.725744843391903,-0,"c(120035.793156567, -193999.072791611)"
Middle Tule57,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,181.43621084797556,0,15.907181054239878,-0,"c(120036.879488976, -194001.863103258)"
Middle Tule58,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,249.23605805958746,0,16.246180290297936,-0,"c(120062.011534613, -194006.748258437)"
Middle Tule181,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,447.22434428316785,0,17.236121721415838,-0,"c(119642.709558443, -192834.467357041)"
Middle Tule182,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,276.6106442577031,0,16.383053221288517,-0,"c(119711.0328708, -193838.240972319)"
Middle Tule183,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,288.06977336389104,0,16.440348866819456,-0,"c(119677.767628902, -192869.238081206)"
Middle Tule184,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,338.0443086325439,0,16.69022154316272,-0,"c(119641.045428541, -192877.152832203)"
Middle Tule185,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,408.39062897886424,0,17.041953144894322,-0,"c(119628.243018993, -192851.148137615)"
Middle Tule186,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,305.57677616501144,0,16.52788388082506,-0,"c(119590.014911511, -192842.840658398)"
Middle Tule61,Middle Tule,2022,Dead,Dead,"USFS, Meyer",post_castle,15,133.6898395721925,0,15.668449197860962,-0,"c(119845.939667615, -193870.803865418)"
Middle Tule62,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,283.2951362363127,0,16.416475681181563,-0,"c(119835.308914912, -193850.346349111)"
Middle Tule71,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,222.81639928698752,0,16.114081996434937,-0,"c(120043.850892107, -193873.17454756)"
Middle Tule72,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,277.8838808250573,0,16.389419404125288,-0,"c(120031.863869865, -193873.274242098)"
Middle Tule73,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,275.33740769034887,0,16.376687038451745,-0,"c(120062.806106353, -193840.251757775)"
Middle Tule74,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,305.57677616501144,0,16.52788388082506,-0,"c(120046.986505281, -193845.606205884)"
Middle Tule75,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,286.47822765469823,0,16.43239113827349,-0,"c(120018.041662932, -193846.608845243)"
