TreeNumber,YrsPostFire,Fire,GroveBasic,Grove_Name,Catface.ht.m,Catface.width.m,Aspect,DBH_cm,Height_m,HLC_m,CrnLength,CrnPercentOf,Scorch_.,Torch_.,Final_LiveDead,Green20,Yellow20,Brown20,MaxCharHt_m,Catface,LD,InSummaryStats,ForModelling,TPI4_10cel,TPI4_5cell,TPI6_5cell,GIS_Aspect_KS,GIS_Elev_KS,GIS_SlopeP_KS,GIS_CBI4_KS,PercentBasalChar5cm,Notes,CircCatface,Cat1_area,EpiPres,EpiPercents,Ht_Scorch,Ht_Torch,ScorchTorchTotal,LiveStatus2018,LiveStatus2019,LiveStatus2020,AvgCharHt_m,CircCharred_.,AvgCharDepth_cm,Prefire_TreeVigor,VigorCode,Chimney,Broken.Top,Fire.Severity,InterCrnsCnt,InflCrnsCnt,FrstStructreTree,AllTrees,Con,Hrdwd,UNKNOWN,PreDead,PreLive,Con.PreDead,Con.PreLive,Hrdwd.PreDead,Hrdwd.PreLive,UNKNOWN.PreDead,ABCO,CADE,CONU,PILA,PIPO,QUKE,SEGI,ALRH,PINUS.all,CADE.SEGI.Total,AvgHeight,SDht,SEht,ConAvgHeight,ConSDht,ConSEht,PercPreDead,Avg_Ht_diff,ConAvg_Ht_diff,YearDead,SurrScorchAvg,SurrTorchAvg,UNKNOWN.PreLive,QUCH,QUWI,TOCA,Avg_HtLive_diff,ConAvg_HtLive_diff,EnoughVisits,Basal_Char_Circumference_m.Percent,LMU,PatchType,PatchRank,AET,CWD
BM014,3,Pier,Black Mountain,Black Mountain,1.1,0.83,110,331,61,22.8,38.2,0.626229508,1,0,Live,99,0,0,10.3,Yes,0,Yes,Yes,4,4,6,123.0459976,1917.859985,14.8671999,3,2,NA,25,0.913,Yes,1,22.8,0,1,Live,Live,Live,5.7,95,0.5,1 - Healthy/Full,1,No,No,Moderate (<75% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midslope NE >30% slope,Intermediate,2,375.2000122,734.6370239
BM015,3,Pier,Black Mountain,Black Mountain,0.65,0.41,130,267.7,51,24.2,26.8,0.525490196,0,10,Live,90,0,0,22.2,Yes,0,Yes,Yes,4,3,6,170.7850037,1946.910034,19.07029915,4,10,NA,2,0.2665,Yes,8,46.8,0,10,Live,Live,Live,15.7,100,1,2 - Mild Crown Damage,2,No,No,Very High - Scorch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.7030029,729.6270142
BM016,3,Pier,Black Mountain,Black Mountain,0,0,50,339.6,59.8,16.1,43.7,0.730769231,10,0,Live,90,0,0,17.9,No,0,Yes,Yes,3,3,4,100.8249969,1973.51001,18.64080048,3,1,NA,0,0,Yes,5,48.8,0,10,Live,Live,Live,12.5,100,1,1 - Healthy/Full,1,No,No,Moderate (<75% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,380.75,717.0969849
BM017,3,Pier,Black Mountain,Black Mountain,8.5,4.09,269,429.7,56.8,8.5,48.3,0.850352113,2,98,Dead,0,0,0,56.8,Yes,1,Yes,Yes,4,3,6,279.3160095,1970.47998,56.90230179,4,10,NA,40,34.765,No,0,10.8,56.8,100,Dead,Dead,Dead,56.8,100,3,4 - Unable to tell,4,No,Yes,Very High - Torch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,380.75,717.0969849
BM018,3,Pier,Black Mountain,Black Mountain,0,0,280,239.4,60.9,22.9,38,0.623973727,80,20,Dead,0,0,0,60.9,No,1,Yes,Yes,1,1,1,311.25,1840.599976,23.51609993,4,10,NA,0,0,No,0,60.9,60.9,100,Dead,Dead,Dead,60.9,100,1,2 - Mild Crown Damage,2,No,No,Very High - Torch (>90% mort),2,0,Yes,71,61,9,1,19,52,16,45,2,7,1,52,0,2,0,1,7,8,0,1,8,9.9,9.5,1.7,11,10.4,2.1,0.27,51,49.9,2018,51.25,48.75,0,0,0,0,13,11.9,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM019,3,Pier,Black Mountain,Black Mountain,0.95,1.2,280,170.3,31.1,17.4,13.7,0.440514469,90,10,Dead,0,0,0,31.1,Yes,1,Yes,Yes,1,1,1,300.5480042,1842.969971,33.13359833,4,1,NA,10,1.14,No,0,31.1,31.1,100,Dead,Dead,Dead,31.1,100,0.5,1 - Healthy/Full,1,No,Yes,Very High - Torch (>90% mort),1,0,Yes,62,50,11,1,20,42,17,33,2,9,1,45,2,1,0,0,10,3,0,0,5,10.1,11.7,2.1,11.5,13.2,2.8,0.32,21,19.6,2018,51.25,48.75,0,0,0,0,7.3,5.9,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM020,3,Pier,Black Mountain,Black Mountain,NA,NA,320,262,55.9,20.3,35.6,0.636851521,30,10,Live,60,0,0,55,Yes,0,Yes,Yes,1,1,1,354.1579895,1846.150024,45.77840042,4,1,NA,NA,NA,No,0,55.9,0,40,Live,Live,Live,54,100,1,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),1,0,Yes,49,49,0,0,20,29,20,29,0,0,0,45,1,0,1,0,0,2,0,1,3,11.5,7.5,1.8,11.5,7.5,1.8,0.41,44.4,44.4,Live,78.75,21.25,0,0,0,0,8.8,8.8,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM020a,3,Pier,Black Mountain,Black Mountain,NA,NA,320,262,27,10,17,0.62962963,90,10,Dead,0,0,0,25,Yes,1,Yes,Yes,1,1,1,354.1579895,1846.150024,45.77840042,4,1,NA,NA,NA,No,0,27,25,100,Dead,Dead,Dead,25,100,1,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),1,0,Yes,49,49,0,0,20,29,20,29,0,0,0,45,1,0,1,0,0,2,0,1,3,11.5,7.5,1.8,11.5,7.5,1.8,0.41,15.5,15.5,2018,78.75,21.25,0,0,0,0,-1.5,-1.5,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
BM021,3,Pier,Black Mountain,Black Mountain,6.2,5.4,290,388.3,56.5,25.9,30.6,0.54159292,60,40,Dead,0,0,0,56.5,Yes,1,Yes,Yes,1,1,1,320.2279968,1863.52002,30.28919983,4,10,NA,30,33.48,No,0,56,56.5,100,Dead,Dead,Dead,56.5,100,3,2 - Mild Crown Damage,2,No,Yes,Very High - Torch (>90% mort),NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,370.4169922,722.3369751
BM022,3,Pier,Black Mountain,Black Mountain,2.8,1.7,330,232,59.5,30.4,29.1,0.48907563,80,20,Dead,0,0,0,59.5,Yes,1,Yes,Yes,1,1,1,348.2399902,1863.280029,47.11579895,4,5,NA,20,4.76,No,0,59.5,29.9,100,Dead,Dead,Dead,59.5,100,4,3 - High Crown Damage,3,No,No,Very High - Torch (>90% mort),0,0,Yes,61,56,5,0,27,34,27,29,0,5,0,31,2,0,0,0,5,23,0,0,25,11.2,8.2,1.4,11.1,8.4,1.5,0.44,48.3,48.4,2018,25,75,0,0,0,0,19.2,19.3,NA,NA,Ridge,Dry,1,370.4169922,722.3369751
BM023,3,Pier,Black Mountain,Black Mountain,1.1,1.2,280,128.9,40.5,18.6,21.9,0.540740741,15,85,Dead,0,0,0,40.5,Yes,1,Yes,Yes,1,1,1,300.5480042,1842.969971,33.13359833,4,1,NA,25,1.32,No,0,26.1,40.5,100,Dead,Dead,Dead,40.5,100,0.5,1 - Healthy/Full,1,No,Yes,Very High - Torch (>90% mort),0,0,Yes,59,47,11,1,19,40,16,31,2,9,1,42,2,1,0,0,10,3,0,0,5,10.1,11.7,2.1,11.5,13.2,2.8,0.32,30.4,29,2018,51.25,48.75,0,0,0,0,8.5,7.1,NA,NA,Ridge,Dry,1,371.9570007,729.4699707
