"","site","ownership","plot.type","plot.num","plot.easting","plot.northing","plot.size.ha","monarch.num","monarch.easting","monarch.northing","status","severity","topo.pos","height.m","htlc.m","prefire.htlc.m","dbh.cm","canopy.pos","perc.live","perc.live.corr","perc.dead","perc.dead.corr","perc.fading","perc.fading.corr","perc.scorch","perc.scorch.corr","scorch.ht.m","perc.torch","perc.torch.corr","torch.ht.m","epic.sprouting","beetles","cat.face","char.ht.m","fuel.reduction","is.center.monarch","notes","uniqueplot","plot.monarch"
"1","Alder Creek","SRL","GRTS","H_B_23",353699,4006450,0.07,"SRLAC101",353759,4006467,"L","L","M",64.8,7.2,7.2,307.3,"D",95,95,5,5,0,0,5,5,7.7,0,0,NA,"No",NA,"Yes",0,NA,"No","Originally collected on GRD 47. Significant sap exudation","Alder Creek_H_B_23","SRLAC102"
"2","Alder Creek","SRL","GRTS","H_A_1",353682,4005508,0.07,"AC099",353682,4005508,"D","H","U",54.3,NA,20.1,331,"D",0,0,100,100,0,0,10,10,54.3,90,90,52.3,"No","No","Yes",NA,NA,"Yes",NA,"Alder Creek_H_A_1","AC099"
"3","Alder Creek","SRL","GRTS","H_B_23",353699,4006450,0.07,"SRLAC124",353753,4006429,"L","L","L",47.8,18.2,12.2,363.4,"D",95,5,5,95,0,0,95,95,12.2,0,0,NA,"No","Yes","No",10.2,NA,"No","Broken bole","Alder Creek_H_B_23","SRLAC102"
"4","Alder Creek","SRL","GRTS","H_B_23",353699,4006450,0.07,"SRLAC412",353675,4006470,"L","H","L",66.9,15.8,15.8,225.4,"C",60,60,40,40,0,0,40,40,59.5,0,0,NA,"No",NA,"No",17.9,NA,"No",NA,"Alder Creek_H_B_23","SRLAC102"
"5","Alder Creek","SRL","GRTS","H_B_23",353699,4006450,0.07,"SRLAC413",353658,4006481,"L","H","L",68.8,31.4,12.6,337.4,"C",30,30,70,70,0,0,70,70,68.8,0,0,NA,"No","Yes","No",30.3,NA,"No","Forked above DBH, two individuals.","Alder Creek_H_B_23","SRLAC102"
"6","Alder Creek","USFS","GRTS","H_A_10",352878,4006252,0.07,"AC082",352878,4006252,"D","H","M",47.7,NA,25.8,83.5,"D",0,0,100,100,0,0,100,100,47.7,0,0,NA,"No","No","No",NA,NA,"Yes",NA,"Alder Creek_H_A_10","AC082"
"7","Alder Creek","SRL","GRTS","L_A_1",354216,4006404,0.07,"SRLAC1101",354209,4006415,"L","L","L",64,13.4,15.5,364.5,"D",100,100,0,0,0,0,0,0,NA,0,0,NA,"Yes",NA,"Yes",8,NA,"No",NA,"Alder Creek_L_A_1","SRLAC1091"
"8","Alder Creek","SRL","GRTS","L_A_11",354161,4005930,0.07,"SRLAC128",354112,4005890,"L","U","M",68.2,11.4,11.4,509.4,"D",100,100,0,0,0,0,0,0,0,0,0,0,"No","No","Yes",0,NA,"No",NA,"Alder Creek_L_A_11","SRLAC229"
"9","Alder Creek","SRL","GRTS","L_A_11",354161,4005930,0.07,"SRLAC129",354139,4005967,"L","U","M",77.5,31,31,325.1,"D",100,100,0,0,0,0,0,0,0,0,0,0,"No","No","No",0,NA,"No",NA,"Alder Creek_L_A_11","SRLAC229"
"10","Alder Creek","SRL","GRTS","L_A_11",354161,4005930,0.07,"SRLAC130",354143,4005960,"L","U","M",73.8,13.6,13.6,250.9,"D",100,100,0,0,0,0,0,0,0,0,0,0,"No","No","No",0,NA,"No",NA,"Alder Creek_L_A_11","SRLAC229"
"11","Alder Creek","SRL","GRTS","H_A_12",353226,4006329,0.07,"AC047",353226,4006329,"D","H","U",45.6,NA,22,133.7,"D",0,0,100,100,0,0,95,95,5.6,5,5,40,"No","No","No",NA,NA,"Yes","recorded 90% torch and 95% scorch. Based on scorch and torch heights, going with 5% torch and 95% scorch","Alder Creek_H_A_12","AC047"
