"year","mort_est_50","mort_est_05","mort_est_095","mort_est_025","mort_est_975","cum_mort_est_50","cum_mort_est_05","cum_mort_est_095","cum_mort_est_025","cum_mort_est_975","mort_est_50_percpop","mort_est_05_percpop","mort_est_095_percpop","mort_est_025_percpop","mort_est_975_percpop","cum_mort_est_50_percpop","cum_mort_est_05_percpop","cum_mort_est_095_percpop","cum_mort_est_025_percpop","cum_mort_est_975_percpop"
1985,0.02029631,0.03726278,0.01073273,0.04092922,0.009600824,0.0203,0.0373,0.0107,0.0409,0.0096,2.89178896076141e-07,5.30914712335793e-07,1.52918388282563e-07,5.83153620380133e-07,1.36791154931183e-07,2.89178896076141e-07,5.30914712335793e-07,1.52918388282563e-07,5.83153620380133e-07,1.36791154931183e-07
1986,17.621075,25.645081,11.7517,27.255588,10.851453,17.6414,25.6823,11.7624,27.2965,10.8611,0.000251062533838657,0.000365387413444277,0.000167436525802867,0.000388333684780441,0.000154609936454564,0.000251351712734733,0.000365918328156612,0.000167589444191149,0.000388916838400821,0.000154746727609495
1987,69.21202,78.69784,61.02498,80.53259,59.59363,86.8534,104.3802,72.7874,107.8291,70.4547,0.000986122873507537,0.00112127546804206,0.000869475108996096,0.00114741672128345,0.000849081440743168,0.00123747458624227,0.00148719379619867,0.00103706455318725,0.00153633355968427,0.00100382816835266
1988,1.074619,1.574846,0.6973836,1.67321,0.6372899,87.928,105.955,73.4848,109.5023,71.092,1.53110164420255e-05,2.24381785541276e-05,9.93622089875474e-06,2.38396546319779e-05,9.08001453281281e-06,0.0012527856026843,0.0015096319747528,0.001047000774086,0.00156017321431625,0.00101290818288548
1989,0,0,0,0,0,87.928,105.955,73.4848,109.5023,71.092,0,0,0,0,0,0.0012527856026843,0.0015096319747528,0.001047000774086,0.00156017321431625,0.00101290818288548
1990,0,0,0,0,0,87.928,105.955,73.4848,109.5023,71.092,0,0,0,0,0,0.0012527856026843,0.0015096319747528,0.001047000774086,0.00156017321431625,0.00101290818288548
1991,40.27602,51.67534,30.91815,53.91102,29.37892,128.204,157.6304,104.4029,163.4133,100.4709,0.000573846921038384,0.000736262787450489,0.000440517339640384,0.000768116433476762,0.000418586612714786,0.00182663252372268,0.00224589476220329,0.00148751811372638,0.00232828964779301,0.00143149479560026
1992,0,0,0,0,0,128.204,157.6304,104.4029,163.4133,100.4709,0,0,0,0,0,0.00182663252372268,0.00224589476220329,0.00148751811372638,0.00232828964779301,0.00143149479560026
1993,0,0,0,0,0,128.204,157.6304,104.4029,163.4133,100.4709,0,0,0,0,0,0.00182663252372268,0.00224589476220329,0.00148751811372638,0.00232828964779301,0.00143149479560026
1994,0.05346176,0.103311,0.0270033,0.1134917,0.02357189,128.2575,157.7337,104.4299,163.5268,100.4945,7.61715441826005e-07,1.47196021998689e-06,3.84739121762175e-07,1.61701336448864e-06,3.3584888724247e-07,0.00182739423916451,0.00224736672242328,0.00148790285284815,0.0023299066611575,0.0014318306444875
1995,7.10748394,9.68816987,5.10717914,10.20379168,4.79170017,135.365,167.4219,109.5371,173.7306,105.2862,0.000101266405550965,0.000138035646282734,7.27663514091129e-05,0.00014538215142621,6.82714525688884e-05,0.00192866064471547,0.00238540236870601,0.00156066920425726,0.00247528881258371,0.00150010209705639
1996,3.88408,5.112233,2.919168,5.359976,2.763312,139.2491,172.5341,112.4563,179.0906,108.0495,5.53398113583906e-05,7.28383580771094e-05,4.15918844213946e-05,7.6368164591229e-05,3.93712706237711e-05,0.00198400045607386,0.00245824072678312,0.00160226108867865,0.00255165697717494,0.00153947336768016
