,resist_id,last_trt,area_ha,recent_dist_yr,recent_dist_type,unit_name,grove_name,prior1_dist_yr,prior1_dist_type,prior2_dist_yr,prior2_dist_type,keep,prior1_dist_yr_0,diff.1.to.2,resst_d
1,1,1987,4.71688E-15,1987,lowsev_fire,Bureau of Land Management,Case Mountain,NA,NA,NA,NA,T,0,1987,1
2,2,2022,0.15585663,2022,rx_pile,Bureau of Land Management,Case Mountain,1987,lowsev_fire,NA,NA,T,1987,35,2
3,3,2022,0.005769929,2022,rx_pile,Bureau of Land Management,Case Mountain,NA,NA,NA,NA,T,0,2022,3
4,4,2022,2.505089106,2022,rx_pile,Bureau of Land Management,Case Mountain,2020,mech_under,1987,lowsev_fire,T,2020,2,4
5,5,2020,1.10620908,2020,mech_under,Bureau of Land Management,Case Mountain,1987,lowsev_fire,NA,NA,T,1987,33,5
6,6,2022,10.30334895,2022,rx_pile,Bureau of Land Management,Case Mountain,2020,mech_under,NA,NA,T,2020,2,6
7,7,2020,2.879031899,2020,mech_under,Bureau of Land Management,Case Mountain,NA,NA,NA,NA,T,0,2020,7
8,8,2024,0.140927524,2024,lowsev_fire,Bureau of Land Management,Coffee Pot,NA,NA,NA,NA,T,0,2024,8
9,10,2024,0.041646463,2024,modsev_fire,Bureau of Land Management,Coffee Pot,NA,NA,NA,NA,T,0,2024,10
10,12,2024,0.096808428,2024,modsev_fire,Bureau of Land Management,Coffee Pot,2023,mech_under,NA,NA,T,2023,1,12
11,13,2024,2.050887042,2024,lowsev_fire,Bureau of Land Management,Coffee Pot,2023,mech_under,NA,NA,T,2023,1,13
12,14,2023,0.258766968,2023,mech_under,Bureau of Land Management,Coffee Pot,NA,NA,NA,NA,T,0,2023,14
13,15,2024,0.024809446,2024,lowsev_fire,Bureau of Land Management,Coffee Pot,2020,mech_under,NA,NA,T,2020,4,15
14,16,2024,0.343422714,2024,lowsev_fire,Bureau of Land Management,Coffee Pot,2020,mech_under,1987,lowsev_fire,T,2020,4,16
15,18,2024,0.248531809,2024,modsev_fire,Bureau of Land Management,Coffee Pot,2020,mech_under,1987,lowsev_fire,T,2020,4,18
16,19,2020,6.73026E-15,2020,mech_under,Bureau of Land Management,Coffee Pot,1987,lowsev_fire,NA,NA,T,1987,33,19
17,20,1987,0,1987,lowsev_fire,Bureau of Land Management,Ladybug,NA,NA,NA,NA,T,0,1987,20
18,21,1987,9.09495E-17,1987,lowsev_fire,Bureau of Land Management,Ladybug,NA,NA,NA,NA,T,0,1987,21
19,21,1987,9.09495E-17,1987,modsev_fire,Bureau of Land Management,Ladybug,1987,lowsev_fire,NA,NA,T,1987,0,21
20,22,1987,3.42582E-14,1987,modsev_fire,Bureau of Land Management,Ladybug,NA,NA,NA,NA,T,0,1987,22
21,23,2024,0.128000241,2024,lowsev_fire,Bureau of Land Management,Ladybug,1987,lowsev_fire,NA,NA,T,1987,37,23
22,25,2024,0.007040025,2024,lowsev_fire,Bureau of Land Management,Ladybug,1987,modsev_fire,NA,NA,T,1987,37,25
23,26,2024,0,2024,lowsev_fire,Bureau of Land Management,Ladybug,NA,NA,NA,NA,T,0,2024,26
24,28,2024,0.426575833,2024,modsev_fire,Bureau of Land Management,Ladybug,1987,lowsev_fire,NA,NA,T,1987,37,28
25,30,2024,5.3488E-08,2024,modsev_fire,Bureau of Land Management,Ladybug,1987,modsev_fire,1987,lowsev_fire,T,1987,37,30
26,31,2024,0.05025682,2024,modsev_fire,Bureau of Land Management,Ladybug,1987,modsev_fire,NA,NA,T,1987,37,31
27,32,1987,2.8831E-14,1987,lowsev_fire,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,1987,32
28,34,1987,1.45519E-15,1987,modsev_fire,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,1987,34
29,35,2024,0.036309649,2024,lowsev_fire,Bureau of Land Management,Monache Tubs,1987,lowsev_fire,NA,NA,T,1987,37,35
30,36,2024,0.918274685,2024,lowsev_fire,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,2024,36
31,39,2024,0.028014394,2024,modsev_fire,Bureau of Land Management,Monache Tubs,1987,lowsev_fire,NA,NA,T,1987,37,39
32,40,2024,0.993297734,2024,modsev_fire,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,2024,40
33,42,2024,0.022495851,2024,highsev_fire,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,2024,42
34,43,2024,0.150413308,2024,lowsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,1987,lowsev_fire,T,2023,1,43
35,46,2024,0.01775457,2024,highsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,NA,NA,T,2023,1,46
36,47,2024,3.183715315,2024,lowsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,NA,NA,T,2023,1,47
37,48,2024,0.64350489,2024,modsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,NA,NA,T,2023,1,48
38,50,2024,0.061706418,2024,modsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,1987,modsev_fire,T,2023,1,50
39,52,2024,0.006069947,2024,highsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,1987,modsev_fire,T,2023,1,52
40,53,2023,1.17325E-14,2023,mech_under,Bureau of Land Management,Monache Tubs,1987,modsev_fire,NA,NA,T,1987,36,53
41,56,2024,0.424998006,2024,modsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,1987,lowsev_fire,T,2023,1,56
42,58,2024,0.018191609,2024,highsev_fire,Bureau of Land Management,Monache Tubs,2023,mech_under,1987,lowsev_fire,T,2023,1,58
43,59,2023,0.040250421,2023,mech_under,Bureau of Land Management,Monache Tubs,NA,NA,NA,NA,T,0,2023,59
44,60,1987,1.38243E-14,1987,lowsev_fire,Bureau of Land Management,Nutmeg,NA,NA,NA,NA,T,0,1987,60
45,60,1987,1.38243E-14,1987,modsev_fire,Bureau of Land Management,Nutmeg,1987,lowsev_fire,NA,NA,T,1987,0,60
46,61,2024,0.036953797,2024,lowsev_fire,Bureau of Land Management,Nutmeg,1987,lowsev_fire,NA,NA,T,1987,37,61
47,64,2024,0.997523444,2024,modsev_fire,Bureau of Land Management,Nutmeg,1987,lowsev_fire,NA,NA,T,1987,37,64
48,65,2024,5.09317E-14,2024,modsev_fire,Bureau of Land Management,Nutmeg,NA,NA,NA,NA,T,0,2024,65
49,67,2024,0.005894141,2024,highsev_fire,Bureau of Land Management,Nutmeg,1987,modsev_fire,NA,NA,T,1987,37,67
50,68,2024,0.419974865,2024,highsev_fire,Bureau of Land Management,Nutmeg,1987,lowsev_fire,NA,NA,T,1987,37,68
51,69,2024,0,2024,highsev_fire,Bureau of Land Management,Nutmeg,NA,NA,NA,NA,T,0,2024,69
52,72,2023,4.87489E-14,2023,mech_under,Bureau of Land Management,Nutmeg,1987,modsev_fire,NA,NA,T,1987,36,72
53,74,2024,2.48122E-15,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,1987,lowsev_fire,T,2023,1,74
54,75,2024,0.016809715,2024,highsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,1987,lowsev_fire,T,2023,1,75
55,76,2024,0.068069805,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,1987,lowsev_fire,T,2023,1,76
56,77,2024,1.38778E-21,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,1987,modsev_fire,T,2023,1,77
57,79,2024,0,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,NA,NA,T,2023,1,79
58,82,2024,0.265163943,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,82
59,83,2024,0.451201456,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,83
60,84,2023,0.273332194,2023,mech_under,Bureau of Land Management,Nutmeg,2020,mech_under,NA,NA,T,2020,3,84
61,85,2024,0.041252259,2024,highsev_fire,Bureau of Land Management,Nutmeg,2020,mech_under,1987,lowsev_fire,T,2020,4,85
62,86,2024,0.036356613,2024,modsev_fire,Bureau of Land Management,Nutmeg,2020,mech_under,1987,lowsev_fire,T,2020,4,86
63,87,2024,3.324727826,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,87
64,90,2024,2.34380242,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,90
65,92,2024,0.000315338,2024,modsev_fire,Bureau of Land Management,Nutmeg,2020,mech_under,1987,modsev_fire,T,2020,4,92
66,93,2024,0.71737724,2024,highsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,93
67,94,2024,8.73115E-15,2024,modsev_fire,Bureau of Land Management,Nutmeg,2020,mech_under,NA,NA,T,2020,4,94
68,95,2024,0.000745477,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,95
69,100,2024,0.046794395,2024,highsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,100
70,101,2024,1.29015E-08,2024,highsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,101
71,103,2024,0.305293254,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,103
72,104,2024,0.008703374,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,rx_pile,2020,mech_under,T,2023,1,104
73,105,2024,4.06573E-08,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,105
74,106,2024,0.02970143,2024,lowsev_fire,Bureau of Land Management,Nutmeg,2023,rx_pile,2020,mech_under,T,2023,1,106
75,107,2024,8.58713E-06,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,mech_under,2020,mech_under,T,2023,1,107
76,109,2024,0.005170313,2024,modsev_fire,Bureau of Land Management,Nutmeg,2023,rx_pile,2020,mech_under,T,2023,1,109
77,110,2023,3.63798E-16,2023,rx_pile,Bureau of Land Management,Nutmeg,2020,mech_under,NA,NA,T,2020,3,110
78,111,2020,2.62253E-13,2020,mech_under,Bureau of Land Management,Nutmeg,NA,NA,NA,NA,T,0,2020,111
79,112,2022,7.413534771,2022,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2014,mech_under,NA,NA,T,2014,8,112
80,113,2014,1.9844E-09,2014,mech_under,Calaveras Big Trees State Park,Calaveras North Grove,NA,NA,NA,NA,T,0,2014,113
81,116,2022,2.87614E-09,2022,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2021,mech_under,2014,mech_under,T,2021,1,116
82,117,2021,5.47234E-09,2021,mech_under,Calaveras Big Trees State Park,Calaveras North Grove,NA,NA,NA,NA,T,0,2021,117
83,118,2023,1.08338E-18,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2014,mech_under,NA,NA,T,2014,9,118
84,119,2023,1.68751E-09,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2021,mech_under,2014,mech_under,T,2021,2,119
85,120,2023,0.090936765,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2022,rx_pile,2021,mech_under,T,2022,1,120
86,122,2023,14.90402707,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2021,mech_under,NA,NA,T,2021,2,122
87,123,2023,6.32906E-09,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2022,rx_pile,2014,mech_under,T,2022,1,123
88,124,2023,1.10557E-08,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,NA,NA,NA,NA,T,0,2023,124
89,125,2024,81.07124092,2024,rx_pile,Calaveras Big Trees State Park,Calaveras South Grove,NA,NA,NA,NA,T,0,2024,125
90,126,2015,2.154781183,2015,modsev_fire,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2015,126
91,128,2015,0.004026076,2015,highsev_fire,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2015,128
92,129,2018,1.027323789,2018,mech_under,Giant Sequoia National Monument,Abbott,2015,modsev_fire,NA,NA,T,2015,3,129
93,131,2018,0.068478542,2018,mech_under,Giant Sequoia National Monument,Abbott,2015,highsev_fire,NA,NA,T,2015,3,131
94,132,2018,1.74623E-14,2018,mech_under,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2018,132
95,133,2015,0.412513954,2015,lowsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,133
96,135,2015,3.344862131,2015,modsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,135
97,137,2015,0.296433831,2015,highsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,137
98,138,2020,0.992306681,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,138
99,139,2020,7.27601E-16,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,139
100,139,2020,7.27601E-16,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,NA,NA,T,2020,0,139
101,140,2020,4.856494388,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,140
102,142,2020,19.90234359,2020,highsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,142
103,143,2017,0.000127768,2017,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2017,143
104,144,2020,0.026813634,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,2002,mech_under,NA,NA,T,2002,18,144
105,145,2022,0.018482287,2022,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,NA,NA,T,2020,2,145
106,147,2022,0.276553455,2022,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,NA,NA,T,2020,2,147
107,148,2022,1.81899E-14,2022,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2022,148
108,149,2024,0.206205434,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2017,lowsev_fire,NA,NA,T,2017,7,149
109,150,2024,0.083325234,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2017,lowsev_fire,T,2020,4,150
110,151,2024,9.36854E-08,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,2020,lowsev_fire,T,2020,4,151
111,153,2024,0.084649193,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2002,mech_under,NA,NA,T,2002,22,153
