"","dist_year","dist_type","grove_name","unit_name","landowner","hectares","dist_group"
"1",1985,"undetected_change","Converse Mountain","Giant Sequoia National Monument","US Forest Service",0.4,"Wildfire"
"2",1986,"lowsev_fire","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",60.6,"Wildfire"
"3",1986,"lowsev_fire","Muir","Sequoia and Kings Canyon National Parks","National Park Service",1.2,"Wildfire"
"4",1986,"modsev_fire","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",0.1,"Wildfire"
"5",1986,"undetected_change","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",79.3,"Wildfire"
"6",1986,"undetected_change","Muir","Sequoia and Kings Canyon National Parks","National Park Service",21.3,"Wildfire"
"7",1987,"highsev_fire","Nutmeg","Bureau of Land Management","Bureau of Land Management",0,"Wildfire"
"8",1987,"highsev_fire","Redwood Mountain","Sequoia and Kings Canyon National Parks","National Park Service",0.4,"Wildfire"
"9",1987,"highsev_fire","Coffee Pot","Private","Private",0.6,"Wildfire"
"10",1987,"highsev_fire","Ladybug","Private","Private",0,"Wildfire"
"11",1987,"highsev_fire","Monache Tubs","Private","Private",2.4,"Wildfire"
"12",1987,"highsev_fire","Nutmeg","Private","Private",0.6,"Wildfire"
"13",1987,"highsev_fire","Salt Creek Ridge","Private","Private",0.9,"Wildfire"
"14",1987,"highsev_fire","Redwood Mountain","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"15",1987,"lowsev_fire","Case Mountain","Bureau of Land Management","Bureau of Land Management",3.8,"Wildfire"
"16",1987,"lowsev_fire","Coffee Pot","Bureau of Land Management","Bureau of Land Management",0.6,"Wildfire"
"17",1987,"lowsev_fire","Ladybug","Bureau of Land Management","Bureau of Land Management",0.6,"Wildfire"
"18",1987,"lowsev_fire","Monache Tubs","Bureau of Land Management","Bureau of Land Management",0.7,"Wildfire"
"19",1987,"lowsev_fire","Nutmeg","Bureau of Land Management","Bureau of Land Management",3.1,"Wildfire"
"20",1987,"lowsev_fire","Redwood Mountain","Sequoia and Kings Canyon National Parks","National Park Service",10.2,"Wildfire"
"21",1987,"lowsev_fire","Coffee Pot","Private","Private",2.1,"Wildfire"
"22",1987,"lowsev_fire","Ladybug","Private","Private",0.2,"Wildfire"
"23",1987,"lowsev_fire","Monache Tubs","Private","Private",0.1,"Wildfire"
"24",1987,"lowsev_fire","Nutmeg","Private","Private",8.1,"Wildfire"
"25",1987,"lowsev_fire","Salt Creek Ridge","Private","Private",6.2,"Wildfire"
"26",1987,"lowsev_fire","Redwood Mountain","Giant Sequoia National Monument","US Forest Service",8,"Wildfire"
"27",1987,"modsev_fire","Ladybug","Bureau of Land Management","Bureau of Land Management",0.1,"Wildfire"
"28",1987,"modsev_fire","Monache Tubs","Bureau of Land Management","Bureau of Land Management",0.1,"Wildfire"
"29",1987,"modsev_fire","Nutmeg","Bureau of Land Management","Bureau of Land Management",0.4,"Wildfire"
"30",1987,"modsev_fire","Redwood Mountain","Sequoia and Kings Canyon National Parks","National Park Service",3.6,"Wildfire"
"31",1987,"modsev_fire","Coffee Pot","Private","Private",0.8,"Wildfire"
"32",1987,"modsev_fire","Ladybug","Private","Private",0.1,"Wildfire"
