Grove,Ownership type,Managing agency/organization,Management unit name,Approximate hectares
Abbott,Federal,US Forest Service,Giant Sequoia National Monument,3.3
Agnew,Federal,US Forest Service,Giant Sequoia National Monument,4.1
Alder Creek,Federal,US Forest Service,Giant Sequoia National Monument,55.9
,Private,Private landowners,Private,39.1
,Non-profit,Save the Redwoods League,Alder Creek,130.4
Atwell,Federal,National Park Service,Sequoia and Kings Canyon National Parks,370.4
Bearskin,Federal,US Forest Service,Giant Sequoia National Monument,28.1
Belknap Camp,Federal,US Forest Service,Giant Sequoia National Monument,38.7
,Private,Private landowners,Private,1.2
Big Springs,Federal,National Park Service,Sequoia and Kings Canyon National Parks,1
Big Stump,Federal,US Forest Service,Giant Sequoia National Monument,61.2
,Private,Private landowners,Private,0.5
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,52.8
Black Mountain,Federal,US Forest Service,Giant Sequoia National Monument,501
,Private,Private landowners,Private,25.3
Board Camp,Federal,National Park Service,Sequoia and Kings Canyon National Parks,19.5
Boulder Creek,Federal,US Forest Service,Giant Sequoia National Monument,10.3
Burro Creek,Federal,US Forest Service,Giant Sequoia National Monument,45.9
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,0.01
Cabin Creek,Federal,US Forest Service,Giant Sequoia National Monument,60.6
Cahoon,Federal,National Park Service,Sequoia and Kings Canyon National Parks,5.8
Calaveras North Grove,State,California State Parks,Calaveras Big Trees State Park,24.6
Calaveras South Grove,State,California State Parks,Calaveras Big Trees State Park,147.7
Carr Wilson,Federal,US Forest Service,Giant Sequoia National Monument,5.4
Case Mountain,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,17
Castle Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,88.5
Cedar Flat,Federal,National Park Service,Sequoia and Kings Canyon National Parks,6.2
Cherry Gap,Federal,US Forest Service,Giant Sequoia National Monument,25.7
Clough Cave,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.6
Coffee Pot,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,3.2
,Private,Private landowners,Private,11.5
