regen_status,area_ha,orig_fid,grove_name,grove_grou,land_stewa,land_ste_1,grove_elem,comments,shape_leng,shape_area,timeframe,perc_area_imm
Longterm regeneration risk,47,3,Alder Creek,NA,3,"USFS SQF GSNM, Save the Redwoods League, Private",5,Peripheral OTI Only,11052.9384233,2253403.03338,longterm,NA
Longterm regeneration risk,0.42,4,Atwell,NA,2,"NPS SEKI, Private",8,STI & OTI; highest elevation SEGI NW021730-O1,36338.5010525,3704025.67404,longterm,NA
Longterm regeneration risk,102.64,6,Wheel Meadow,Belknap Complex,1,USFS SQF GSNM,2,OTI,20878.0790893,2332426.71451,longterm,NA
Longterm regeneration risk,8.6,9,Black Mountain,NA,3,"USFS SQF GSNM, TRIR, Private",16,Peripheral OTI Only,42247.8573615,5284304.68141,longterm,NA
Longterm regeneration risk,7.99,10,Board Camp,NA,1,NPS SEKI,1,STI & OTI,3535.54128487,195127.370044,longterm,NA
Longterm regeneration risk,0.04,17,Nutmeg,Case Mountain,2,"Private, DOI BLM",2,OTI,4599.47130464,265791.302568,longterm,NA
Longterm regeneration risk,0.02,18,Castle Creek,NA,1,NPS SEKI,5,STI & OTI,16157.2586912,885128.291166,longterm,NA
Longterm regeneration risk,1,23,Hoist Ridge,Converse Basin,1,USFS SQF GSNM,1,Peripheral OTI Only; 1955 McGee Fire 2nd Growth,6880.45617674,202727.251365,longterm,NA
Longterm regeneration risk,5.42,24,Converse Basin,Converse Basin,1,USFS SNF & SQF GSNM,6,Peripheral OTI Only,32922.1214222,6246940.29948,longterm,NA
Longterm regeneration risk,1.79,26,Cabin Creek,Converse Basin,1,USFS SNF & SQF GSNM,2,Peripheral OTI Only,7320.88120636,605881.894859,longterm,NA
Longterm regeneration risk,4.91,28,Deer Creek,NA,1,USFS SQF GSNM,2,OTI; Southern-most grove,2684.89432218,141657.221503,longterm,NA
Longterm regeneration risk,20.8,32,Dillonwood,NA,2,"NPS SEKI, USFS SQF GSNM",9,OTI,63571.7921963,4208560.75091,longterm,NA
Longterm regeneration risk,13.35,36,Evans,Evans,1,USFS SQF GSNM,7,Peripheral OTI Only,33872.8615157,3878237.96481,longterm,NA
Longterm regeneration risk,219.13,38,Freeman Creek,NA,1,USFS SQF GSNM,9,Peripheral OTI Only,43215.7860743,5718214.3105,longterm,NA
Longterm regeneration risk,6.15,39,Garfield,NA,1,NPS SEKI,12,STI & OTI,37371.5616026,4989544.04462,longterm,NA
Longterm regeneration risk,10.02,42,Homers Nose,NA,1,NPS SEKI,1,STI & OTI,9366.18839075,481078.874528,longterm,NA
Longterm regeneration risk,5.27,47,Long Meadow,NA,1,USFS SQF GSNM,1,Peripheral OTI Only,11583.6117413,866862.954903,longterm,NA
Longterm regeneration risk,0.01,53,Middle Tule,NA,2,"Cal-Fire, USFS SQF GSNM",2,"Peripheral OTI, Partial OTI",26052.139177,1944748.80275,longterm,NA
Longterm regeneration risk,0.63,56,Muir,NA,1,NPS SEKI,2,STI & OTI,7875.33071429,991461.754736,longterm,NA
Longterm regeneration risk,7.37,57,Nelder,NA,2,"USFS SNF, Private",5,Peripheral OTI Only; some GNSS data,16886.5260174,1338741.64736,longterm,NA
Longterm regeneration risk,3.61,60,Packsaddle,NA,1,USFS SQF GSNM,2,Peripheral OTI,11601.0661172,707495.505896,longterm,NA
Longterm regeneration risk,2.51,61,Peyrone,NA,2,"USFS SQF GSNM, TRIR",8,Peripheral OTI,15241.7040627,917231.922259,longterm,NA
Longterm regeneration risk,19.19,64,Redhill,NA,3,"USFS SQF GSNM, Save the Redwoods League, TRIR",3,Peripheral OTI; StRL tree data available,11721.0828756,1736114.75599,longterm,NA
Longterm regeneration risk,0.46,71,South Peyrone,NA,2,"USFS SQF GSNM, TRIR",1,OTI,2440.92548541,130928.797837,longterm,NA
Longterm regeneration risk,1.36,73,Starvation Creek,NA,1,USFS SQF GSNM,4,OTI,3594.43419272,102147.241589,longterm,NA
Longterm regeneration risk,0.17,75,Suwanee,NA,1,NPS SEKI,1,STI & OTI,4404.85124573,279251.526445,longterm,NA
Longterm regeneration risk,112.35,79,Redwood Mountain,NA,4,"NPS SEKI, UC Berekeley, USFS SQF GSNM, Private",9,STI & Peripheral OTI,78407.6666652,10588863.6229,longterm,NA
Longterm regeneration risk,0.71,85,Verplank,Converse Basin,1,USFS SQF GSNM,1,OTI,3267.85428328,106172.911123,longterm,NA
Longterm regeneration risk,2.22,86,Converse Mountain,Converse Basin,1,USFS SNF & SQF GSNM,2,OTI,4133.40375616,134771.813367,longterm,NA
Longterm regeneration risk,0.98,87,Lockwood,Evans,1,USFS SQF GSNM,5,OTI,5472.71748695,266533.070012,longterm,NA
Longterm regeneration risk,0.18,89,Kennedy,Evans,1,USFS SQF GSNM,3,Peripheral OTI Only,11219.9664875,733107.156977,longterm,NA
Longterm regeneration risk,14.73,91,McIntyre,Belknap Complex,1,USFS SQF GSNM,2,OTI,13388.6890499,1128996.56412,longterm,NA
Longterm regeneration risk,1.17,93,Belknap Camp,Belknap Complex,2,"USFS SQF GSNM, Private",3,OTI,12861.6917338,405147.282635,longterm,NA
Longterm regeneration risk,1.49,94,General Grant,NA,2,"NPS SEKI, USFS SQF GSNM",6,STI & Partial OTI,9481.41328348,677651.957603,longterm,NA
