resist_id,lowsev_fire,rx_pile,mech_under,modsev_fire,highsev_fire,last_trt,diff.1.to.2,area_ha,resist_class,,resst_d
1,1,0,0,0,0,1987,1987,4.71688E-15,Faded resistance,,1
2,1,1,0,0,0,2022,35,0.15585663,Moderate resistance,,2
3,0,1,0,0,0,2022,2022,0.005769929,Moderate resistance,,3
4,1,1,1,0,0,2022,2,2.505089106,High resistance,,4
5,1,0,1,0,0,2020,33,1.10620908,Moderate resistance,,5
6,0,1,1,0,0,2022,2,10.30334895,High resistance,,6
7,0,0,1,0,0,2020,2020,2.879031899,Low resistance,,7
8,1,0,0,0,0,2024,2024,0.140927524,Moderate resistance,,8
10,0,0,0,1,0,2024,2024,0.041646463,Moderate resistance,,10
12,0,0,1,1,0,2024,1,0.096808428,High resistance,,12
13,1,0,1,0,0,2024,1,2.050887042,High resistance,,13
14,0,0,1,0,0,2023,2023,0.258766968,Low resistance,,14
15,1,0,1,0,0,2024,4,0.024809446,High resistance,,15
16,2,0,1,0,0,2024,4,0.343422714,High resistance,,16
18,1,0,1,1,0,2024,4,0.248531809,High resistance,,18
19,1,0,1,0,0,2020,33,6.73026E-15,Moderate resistance,,19
20,1,0,0,0,0,1987,1987,0,Faded resistance,,20
21,1,0,0,1,0,1987,1987,9.09495E-17,Faded resistance,,21
21,1,0,0,1,0,1987,0,9.09495E-17,Faded resistance,,21
22,0,0,0,1,0,1987,1987,3.42582E-14,Faded resistance,,22
23,2,0,0,0,0,2024,37,0.128000241,Moderate resistance,,23
25,1,0,0,1,0,2024,37,0.007040025,Moderate resistance,,25
26,1,0,0,0,0,2024,2024,0,Moderate resistance,,26
28,1,0,0,1,0,2024,37,0.426575833,Moderate resistance,,28
30,1,0,0,2,0,2024,37,5.3488E-08,Moderate resistance,,30
31,0,0,0,2,0,2024,37,0.05025682,Moderate resistance,,31
32,1,0,0,0,0,1987,1987,2.8831E-14,Faded resistance,,32
34,0,0,0,1,0,1987,1987,1.45519E-15,Faded resistance,,34
35,2,0,0,0,0,2024,37,0.036309649,Moderate resistance,,35
36,1,0,0,0,0,2024,2024,0.918274685,Moderate resistance,,36
39,1,0,0,1,0,2024,37,0.028014394,Moderate resistance,,39
40,0,0,0,1,0,2024,2024,0.993297734,Moderate resistance,,40
42,0,0,0,0,1,2024,2024,0.022495851,Loss of mature forest,,42
43,2,0,1,0,0,2024,1,0.150413308,High resistance,,43
46,0,0,1,0,1,2024,1,0.01775457,Loss of mature forest,,46
47,1,0,1,0,0,2024,1,3.183715315,High resistance,,47
48,0,0,1,1,0,2024,1,0.64350489,High resistance,,48
50,0,0,1,2,0,2024,1,0.061706418,High resistance,,50
52,0,0,1,1,1,2024,1,0.006069947,Loss of mature forest,,52
53,0,0,1,1,0,2023,36,1.17325E-14,Moderate resistance,,53
56,1,0,1,1,0,2024,1,0.424998006,High resistance,,56
58,1,0,1,0,1,2024,1,0.018191609,Loss of mature forest,,58
59,0,0,1,0,0,2023,2023,0.040250421,Low resistance,,59
60,1,0,0,1,0,1987,1987,1.38243E-14,Faded resistance,,60
60,1,0,0,1,0,1987,0,1.38243E-14,Faded resistance,,60
61,2,0,0,0,0,2024,37,0.036953797,Moderate resistance,,61
64,1,0,0,1,0,2024,37,0.997523444,Moderate resistance,,64
65,0,0,0,1,0,2024,2024,5.09317E-14,Moderate resistance,,65
67,0,0,0,1,1,2024,37,0.005894141,Loss of mature forest,,67
68,1,0,0,0,1,2024,37,0.419974865,Loss of mature forest,,68
69,0,0,0,0,1,2024,2024,0,Loss of mature forest,,69
72,0,0,1,1,0,2023,36,4.87489E-14,Moderate resistance,,72
74,2,0,1,0,0,2024,1,2.48122E-15,High resistance,,74
75,1,0,1,0,1,2024,1,0.016809715,Loss of mature forest,,75
76,1,0,1,1,0,2024,1,0.068069805,High resistance,,76
77,1,0,1,2,0,2024,1,1.38778E-21,High resistance,,77
79,1,0,1,0,0,2024,1,0,High resistance,,79
82,2,0,2,0,0,2024,1,0.265163943,High resistance,,82
83,1,0,2,1,0,2024,1,0.451201456,High resistance,,83
84,0,0,2,0,0,2023,3,0.273332194,Low resistance,,84
85,1,0,1,0,1,2024,4,0.041252259,Loss of mature forest,,85
86,1,0,1,1,0,2024,4,0.036356613,High resistance,,86
87,1,0,2,0,0,2024,1,3.324727826,High resistance,,87
90,0,0,2,1,0,2024,1,2.34380242,High resistance,,90
92,0,0,1,2,0,2024,4,0.000315338,High resistance,,92
93,1,0,2,0,1,2024,1,0.71737724,Loss of mature forest,,93
94,0,0,1,1,0,2024,4,8.73115E-15,High resistance,,94
95,1,0,2,1,0,2024,1,0.000745477,High resistance,,95
100,0,0,2,1,1,2024,1,0.046794395,Loss of mature forest,,100
101,1,0,2,1,1,2024,1,1.29015E-08,Loss of mature forest,,101
103,0,0,2,2,0,2024,1,0.305293254,High resistance,,103
104,2,1,1,0,0,2024,1,0.008703374,High resistance,,104
105,1,0,2,2,0,2024,1,4.06573E-08,High resistance,,105
106,1,1,1,0,0,2024,1,0.02970143,High resistance,,106
107,0,0,2,1,1,2024,1,8.58713E-06,Loss of mature forest,,107
109,0,1,1,1,0,2024,1,0.005170313,High resistance,,109
110,0,1,1,0,0,2023,3,3.63798E-16,High resistance,,110
111,0,0,1,0,0,2020,2020,2.62253E-13,Low resistance,,111
112,0,1,1,0,0,2022,8,7.413534771,High resistance,,112
113,0,0,1,0,0,2014,2014,1.9844E-09,Low resistance,,113
116,0,1,2,0,0,2022,1,2.87614E-09,High resistance,,116
117,0,0,1,0,0,2021,2021,5.47234E-09,Low resistance,,117
118,0,1,1,0,0,2023,9,1.08338E-18,High resistance,,118
119,0,1,2,0,0,2023,2,1.68751E-09,High resistance,,119
120,0,2,2,0,0,2023,1,0.090936765,High resistance,,120
122,0,1,1,0,0,2023,2,14.90402707,High resistance,,122
