"","X","resist_id","combo_fire_mech","highsev_fire","lowsev_fire","mech_under","modsev_fire","rx_pile","last_trt","area_ha","ever.high","diff.1.to.2","resist_class"
"1",1,1422,1,0,0,2,0,0,2006,1.11,NA,1,"Faded resistance"
"2",2,1423,1,0,0,2,0,0,2006,0.02,NA,1,"Faded resistance"
"3",3,1708,1,0,0,1,0,1,2011,0,NA,1,"High resistance"
"4",4,1717,1,0,0,1,0,1,2011,0,NA,1,"High resistance"
"5",5,1974,1,0,0,2,0,0,2012,0,NA,23,"High resistance"
"6",6,1975,1,0,0,1,0,0,2012,0.06,NA,23,"High resistance"
"7",7,1976,1,0,0,2,0,0,2012,0,NA,23,"High resistance"
"8",8,1977,1,0,0,1,0,0,2012,0,NA,29,"High resistance"
"9",9,1983,1,0,0,2,0,0,2012,0,NA,23,"High resistance"
"10",10,1985,1,0,0,2,0,0,2012,0.02,NA,23,"High resistance"
"11",11,1987,1,0,0,2,0,0,2012,0,NA,23,"High resistance"
"12",12,1990,1,0,0,2,0,0,2012,0,NA,23,"High resistance"
"13",13,1992,1,0,0,2,0,0,2012,0,NA,29,"High resistance"
"14",14,1994,1,0,0,1,0,0,2012,0,NA,41,"High resistance"
"15",15,2008,1,0,0,2,0,0,2012,0,NA,41,"High resistance"
"16",16,2009,1,0,0,1,0,0,2012,0.04,NA,61,"High resistance"
"17",17,2012,1,0,0,2,0,0,2012,0,NA,19,"High resistance"
"18",18,2293,1,0,0,0,0,0,2012,0.29,NA,2012,"High resistance"
"19",19,2413,1,0,0,1,0,1,2013,0,NA,1,"High resistance"
"20",20,2616,1,0,0,1,0,1,2016,0,NA,4,"High resistance"
"21",21,2618,1,0,0,2,0,0,2016,0.92,NA,24,"High resistance"
"22",22,2619,1,0,0,1,0,1,2016,0.02,NA,4,"High resistance"
"23",23,2629,1,0,0,2,0,0,2016,0.24,NA,24,"High resistance"
"24",24,2632,1,0,0,2,0,0,2016,0.16,NA,54,"High resistance"
"25",25,2633,1,0,0,1,0,1,2016,0.23,NA,4,"High resistance"
"26",26,2634,1,0,0,1,0,1,2016,0.05,NA,4,"High resistance"
"27",27,2642,1,0,1,0,0,0,2016,0,NA,25,"High resistance"
"28",28,2643,1,0,0,0,0,1,2016,12.34,NA,17,"High resistance"
"29",29,2644,1,0,0,0,0,2,2016,0.07,NA,13,"High resistance"
"30",30,2679,1,0,0,0,0,1,2016,0.15,NA,5,"High resistance"
"31",31,2680,1,0,0,0,0,1,2016,1.77,NA,7,"High resistance"
"32",32,2691,1,0,0,0,0,2,2016,0.2,NA,5,"High resistance"
"33",33,2699,1,0,0,0,0,1,2016,3.29,NA,39,"High resistance"
"34",34,2700,1,0,0,0,0,2,2016,0.01,NA,7,"High resistance"
"35",35,2703,1,0,0,0,0,1,2016,1.22,NA,10,"High resistance"
"36",36,2704,1,0,0,0,0,2,2016,0.01,NA,5,"High resistance"
"37",37,2705,1,0,0,0,0,1,2016,0.01,NA,35,"High resistance"
"38",38,2706,1,0,0,0,0,1,2016,5.31,NA,47,"High resistance"
"39",39,2707,1,0,0,0,0,2,2016,1.29,NA,39,"High resistance"
"40",40,2708,1,0,0,0,0,0,2016,47.54,NA,2016,"High resistance"
"41",41,2721,1,0,0,0,0,1,2016,0.21,NA,42,"High resistance"
"42",42,2722,1,0,0,0,0,2,2016,0.05,NA,10,"High resistance"
"43",43,2725,1,0,0,0,0,2,2016,0.04,NA,10,"High resistance"
"44",44,2731,1,0,0,0,0,2,2016,0,NA,10,"High resistance"
"45",45,2815,1,0,0,2,0,0,2017,0.33,NA,26,"High resistance"
"46",46,2816,1,0,0,1,0,0,2017,0.1,NA,26,"High resistance"
"47",47,2817,1,0,0,1,0,0,2017,2.06,NA,44,"High resistance"
"48",48,2820,1,0,0,0,0,0,2017,1.31,NA,2017,"High resistance"
"49",49,3267,1,0,0,2,0,0,2018,0.02,NA,2,"High resistance"
"50",50,3268,1,0,0,2,0,0,2018,0.12,NA,2,"High resistance"
"51",51,3270,1,0,1,1,0,0,2018,0.06,NA,1,"High resistance"
"52",52,3271,1,0,0,2,0,0,2018,0.3,NA,2,"High resistance"
"53",53,3286,1,0,0,0,0,2,2018,2.2,NA,1,"High resistance"
"54",54,3287,1,0,1,1,0,0,2018,1.2,NA,1,"High resistance"
"55",55,3288,1,0,0,0,0,2,2018,3.04,NA,1,"High resistance"
"56",56,3297,1,0,1,0,0,1,2018,0.51,NA,1,"High resistance"
"57",57,3299,1,0,0,1,0,1,2018,0,NA,2,"High resistance"
"58",58,3313,1,0,1,0,0,1,2018,0.92,NA,1,"High resistance"
"59",59,3325,1,0,0,1,0,1,2018,0,NA,6,"High resistance"
"60",60,3332,1,0,0,1,0,1,2018,0,NA,6,"High resistance"
"61",61,3385,1,0,0,1,0,1,2018,0,NA,6,"High resistance"
"62",62,3430,1,0,0,1,0,0,2018,1.36,NA,2,"High resistance"
"63",63,4432,1,0,1,0,0,0,2023,0.36,NA,27,"High resistance"
"64",64,4433,1,0,0,0,1,0,2023,0.02,NA,27,"High resistance"
"65",65,4434,1,0,0,0,0,0,2023,35.07,NA,2023,"High resistance"
"66",66,4436,1,0,0,0,0,0,2023,1.77,NA,2023,"High resistance"
"67",67,4729,1,1,0,1,0,0,2023,0.8,"past high sev",1,"High resistance"
"68",68,4732,1,0,0,1,0,0,2023,0,NA,38,"High resistance"
"69",69,4733,1,0,0,1,1,0,2023,0.23,NA,1,"High resistance"
"70",70,4734,1,1,0,1,0,0,2023,0.01,"past high sev",2,"High resistance"
"71",71,4740,1,0,0,1,1,0,2023,0.18,NA,2,"High resistance"
"72",72,4741,1,0,1,1,0,0,2023,0.01,NA,2,"High resistance"
"73",73,4742,1,0,0,2,0,0,2023,0.39,NA,1,"High resistance"
"74",74,4743,1,0,1,1,0,0,2023,0.04,NA,1,"High resistance"
"75",75,4744,1,0,1,1,0,0,2023,0.06,NA,1,"High resistance"
"76",76,4745,1,0,1,1,0,0,2023,0.03,NA,1,"High resistance"
"77",77,4747,1,0,1,1,0,0,2023,0.02,NA,1,"High resistance"
"78",78,4748,1,0,0,2,0,0,2023,0.01,NA,1,"High resistance"
"79",79,4750,1,0,1,1,0,0,2023,1.82,NA,2,"High resistance"
"80",80,4754,1,0,1,0,0,0,2023,0.04,NA,2,"High resistance"
"81",81,4755,1,1,0,1,0,0,2023,0,"past high sev",1,"High resistance"
"82",82,4756,1,0,1,1,0,0,2023,0.11,NA,1,"High resistance"
"83",83,4759,1,0,0,1,1,0,2023,1.37,NA,1,"High resistance"
"84",84,4760,1,0,0,0,1,0,2023,0.08,NA,2,"High resistance"
"85",85,4762,1,1,0,0,0,0,2023,0.01,"past high sev",2,"High resistance"
"86",86,4763,1,1,0,1,0,0,2023,1.78,"past high sev",1,"High resistance"
"87",87,4766,1,0,0,2,0,0,2023,0,NA,1,"High resistance"
"88",88,4770,1,1,0,1,0,0,2023,0,"past high sev",1,"High resistance"
"89",89,4776,1,0,0,1,1,0,2023,0,NA,1,"High resistance"
"90",90,4777,1,0,1,1,0,0,2023,1.14,NA,1,"High resistance"
"91",91,4781,1,0,0,1,1,0,2023,6.1,NA,1,"High resistance"
"92",92,4784,1,1,0,1,0,0,2023,11.36,"past high sev",1,"High resistance"
"93",93,4811,1,0,0,0,0,1,2023,15.48,NA,2,"High resistance"
"94",94,4826,1,0,0,1,0,1,2023,0.14,NA,2,"High resistance"
"95",95,4829,1,0,0,0,0,2,2023,0,NA,2,"High resistance"
"96",96,4830,1,0,0,0,0,2,2023,0.93,NA,2,"High resistance"
"97",97,4831,1,0,0,1,0,1,2023,0,NA,6,"High resistance"
"98",98,4832,1,0,0,0,0,2,2023,0,NA,2,"High resistance"
"99",99,4837,1,0,0,0,0,2,2023,0,NA,2,"High resistance"
"100",100,4838,1,0,0,0,0,2,2023,0,NA,1,"High resistance"
"101",101,4840,1,0,0,1,0,1,2023,3.45,NA,2,"High resistance"
"102",102,4841,1,0,0,0,0,2,2023,0,NA,1,"High resistance"
"103",103,4842,1,0,0,0,0,2,2023,0,NA,1,"High resistance"
"104",104,4865,1,0,0,2,0,0,2023,0,NA,1,"High resistance"
"105",105,4866,1,0,0,1,1,0,2023,0,NA,6,"High resistance"
"106",106,4883,1,0,0,1,0,1,2023,1.59,NA,1,"High resistance"
"107",107,4893,1,0,0,1,0,0,2023,0.24,NA,1,"High resistance"
"108",108,4894,1,0,0,0,0,0,2023,0,NA,2023,"High resistance"
"109",109,5135,1,0,0,2,0,0,2024,0,NA,2,"High resistance"
"110",110,5137,1,1,0,1,0,0,2024,0.01,"past high sev",2,"High resistance"
"111",111,5148,1,0,0,1,1,0,2024,0.08,NA,2,"High resistance"
"112",112,5149,1,0,1,1,0,0,2024,0.03,NA,2,"High resistance"
"113",113,5152,1,1,1,0,0,0,2024,0,"past high sev",4,"High resistance"
"114",114,5153,1,1,0,1,0,0,2024,0.07,"past high sev",4,"High resistance"
"115",115,5155,1,0,0,2,0,0,2024,0,NA,1,"High resistance"
