"","X","resist_id","combo_fire_mech","highsev_fire","lowsev_fire","mech_under","modsev_fire","rx_pile","last_dist_yr","last_dist_type","area_ha","ever.high","diff.1.to.2","resist_class"
"1",1,1588,1,0,0,2,0,0,2006,"combo_fire_mech",1.11,"never high sev",1,"No resistance"
"2",2,1589,1,0,0,2,0,0,2006,"combo_fire_mech",0.02,"never high sev",1,"No resistance"
"3",3,1955,1,0,0,1,0,1,2011,"combo_fire_mech",0,"never high sev",1,"High resistance"
"4",4,1960,1,0,0,1,0,1,2011,"combo_fire_mech",0,"never high sev",1,"High resistance"
"5",5,2284,1,0,0,1,0,0,2012,"combo_fire_mech",0.04,"never high sev",23,"High resistance"
"6",6,2286,1,0,0,2,0,0,2012,"combo_fire_mech",0.02,"never high sev",23,"High resistance"
"7",7,2592,1,0,0,0,0,0,2012,"combo_fire_mech",0,"never high sev",2012,"High resistance"
"8",8,2988,1,0,0,1,0,1,2016,"combo_fire_mech",0.02,"never high sev",4,"High resistance"
"9",9,2989,1,0,0,2,0,0,2016,"combo_fire_mech",0.72,"never high sev",24,"High resistance"
"10",10,2991,1,0,0,2,0,0,2016,"combo_fire_mech",0.22,"never high sev",24,"High resistance"
"11",11,2992,1,0,0,2,0,0,2016,"combo_fire_mech",0.15,"never high sev",54,"High resistance"
"12",12,3006,1,0,0,1,0,1,2016,"combo_fire_mech",0.16,"never high sev",4,"High resistance"
"13",13,3007,1,0,0,1,0,1,2016,"combo_fire_mech",0.05,"never high sev",4,"High resistance"
"14",14,3016,1,0,1,0,0,0,2016,"combo_fire_mech",0.05,"never high sev",25,"High resistance"
"15",15,3018,1,0,1,0,0,1,2016,"combo_fire_mech",0.08,"never high sev",17,"High resistance"
"16",16,3019,1,0,0,0,0,1,2016,"combo_fire_mech",12.25,"never high sev",17,"High resistance"
"17",17,3021,1,0,0,0,0,2,2016,"combo_fire_mech",0.07,"never high sev",13,"High resistance"
"18",18,3066,1,0,0,0,0,1,2016,"combo_fire_mech",0.67,"never high sev",7,"High resistance"
"19",19,3070,1,0,0,0,0,2,2016,"combo_fire_mech",0.06,"never high sev",5,"High resistance"
"20",20,3077,1,0,0,0,0,1,2016,"combo_fire_mech",2.7,"never high sev",39,"High resistance"
"21",21,3078,1,0,0,0,0,2,2016,"combo_fire_mech",0.01,"never high sev",5,"High resistance"
"22",22,3079,1,0,0,0,0,2,2016,"combo_fire_mech",0.79,"never high sev",39,"High resistance"
"23",23,3080,1,0,0,0,0,1,2016,"combo_fire_mech",4.7,"never high sev",47,"High resistance"
"24",24,3084,1,0,0,0,0,1,2016,"combo_fire_mech",0.99,"never high sev",10,"High resistance"
"25",25,3098,1,0,0,0,0,1,2016,"combo_fire_mech",0.03,"never high sev",42,"High resistance"
"26",26,3100,1,0,0,0,0,2,2016,"combo_fire_mech",0.01,"never high sev",10,"High resistance"
"27",27,3111,1,0,0,0,0,1,2016,"combo_fire_mech",0,"never high sev",5,"High resistance"
"28",28,3115,1,0,0,0,0,0,2016,"combo_fire_mech",29.84,"never high sev",2016,"High resistance"
"29",29,3117,1,0,0,0,0,2,2016,"combo_fire_mech",0,"never high sev",10,"High resistance"
"30",30,3238,1,0,0,2,0,0,2017,"combo_fire_mech",0.33,"never high sev",26,"High resistance"
"31",31,3239,1,0,0,1,0,0,2017,"combo_fire_mech",0.1,"never high sev",26,"High resistance"
"32",32,3241,1,0,1,0,0,0,2017,"combo_fire_mech",0.01,"never high sev",1,"High resistance"
"33",33,3242,1,0,0,1,0,0,2017,"combo_fire_mech",2.06,"never high sev",44,"High resistance"
"34",34,3246,1,0,0,0,0,0,2017,"combo_fire_mech",1.3,"never high sev",2017,"High resistance"
"35",35,3800,1,0,0,2,0,0,2018,"combo_fire_mech",0.02,"never high sev",2,"High resistance"
"36",36,3801,1,0,0,2,0,0,2018,"combo_fire_mech",0.11,"never high sev",2,"High resistance"
"37",37,3803,1,0,1,1,0,0,2018,"combo_fire_mech",0,"never high sev",1,"High resistance"
"38",38,3832,1,0,1,1,0,0,2018,"combo_fire_mech",0.24,"never high sev",1,"High resistance"
"39",39,3846,1,0,0,0,0,2,2018,"combo_fire_mech",1.33,"never high sev",1,"High resistance"
"40",40,3848,1,0,0,0,0,2,2018,"combo_fire_mech",1.02,"never high sev",1,"High resistance"
"41",41,3851,1,0,1,1,0,0,2018,"combo_fire_mech",2.08,"never high sev",1,"High resistance"
"42",42,3853,1,0,0,1,1,0,2018,"combo_fire_mech",0.01,"never high sev",1,"High resistance"
"43",43,3855,1,0,1,0,0,1,2018,"combo_fire_mech",1.12,"never high sev",1,"High resistance"
"44",44,3886,1,0,1,0,0,1,2018,"combo_fire_mech",1.16,"never high sev",1,"High resistance"
"45",45,3889,1,0,0,1,1,0,2018,"combo_fire_mech",0.25,"never high sev",1,"High resistance"
"46",46,3897,1,0,0,0,1,1,2018,"combo_fire_mech",0.14,"never high sev",1,"High resistance"
"47",47,3898,1,0,0,0,1,1,2018,"combo_fire_mech",0.37,"never high sev",1,"High resistance"
"48",48,3921,1,0,0,2,0,0,2018,"combo_fire_mech",0.12,"never high sev",2,"High resistance"
"49",49,4078,1,0,0,1,0,0,2018,"combo_fire_mech",0.23,"never high sev",2,"High resistance"
"50",50,5322,1,0,0,0,0,0,2023,"combo_fire_mech",35.8,"never high sev",2023,"High resistance"
"51",51,5324,1,0,0,0,0,0,2023,"combo_fire_mech",2.25,"never high sev",2023,"High resistance"
"52",52,5325,1,0,1,0,0,0,2023,"combo_fire_mech",0.03,"never high sev",27,"High resistance"
"53",53,5670,1,1,0,1,0,0,2023,"combo_fire_mech",0.93,"past high sev",1,"Loss of mature forest"
"54",54,5674,1,1,0,1,0,0,2023,"combo_fire_mech",0.03,"past high sev",2,"Loss of mature forest"
"55",55,5675,1,0,0,1,1,0,2023,"combo_fire_mech",0.1,"never high sev",1,"High resistance"
"56",56,5677,1,0,0,1,1,0,2023,"combo_fire_mech",0.16,"never high sev",2,"High resistance"
"57",57,5678,1,0,1,1,0,0,2023,"combo_fire_mech",0.01,"never high sev",2,"High resistance"
"58",58,5679,1,0,1,1,0,0,2023,"combo_fire_mech",0,"never high sev",1,"High resistance"
"59",59,5681,1,0,0,2,0,0,2023,"combo_fire_mech",0.09,"never high sev",1,"High resistance"
"60",60,5683,1,0,0,1,1,0,2023,"combo_fire_mech",0.01,"never high sev",1,"High resistance"
"61",61,5684,1,0,0,1,1,0,2023,"combo_fire_mech",0,"never high sev",1,"High resistance"
"62",62,5686,1,0,0,2,0,0,2023,"combo_fire_mech",0.23,"never high sev",1,"High resistance"
"63",63,5687,1,0,1,1,0,0,2023,"combo_fire_mech",0.02,"never high sev",1,"High resistance"
"64",64,5690,1,0,0,1,1,0,2023,"combo_fire_mech",0,"never high sev",1,"High resistance"
"65",65,5691,1,0,0,2,0,0,2023,"combo_fire_mech",0.08,"never high sev",1,"High resistance"
"66",66,5693,1,0,1,1,0,0,2023,"combo_fire_mech",0.02,"never high sev",1,"High resistance"
"67",67,5694,1,0,1,1,0,0,2023,"combo_fire_mech",0.07,"never high sev",1,"High resistance"
"68",68,5695,1,0,1,1,0,0,2023,"combo_fire_mech",0.02,"never high sev",1,"High resistance"
"69",69,5707,1,0,1,0,0,0,2023,"combo_fire_mech",0.04,"never high sev",2,"High resistance"
"70",70,5709,1,0,1,1,0,0,2023,"combo_fire_mech",0.04,"never high sev",1,"High resistance"
"71",71,5712,1,0,0,1,1,0,2023,"combo_fire_mech",0.92,"never high sev",1,"High resistance"
"72",72,5713,1,0,0,0,1,0,2023,"combo_fire_mech",0.06,"never high sev",2,"High resistance"
"73",73,5715,1,1,0,0,0,0,2023,"combo_fire_mech",0.02,"past high sev",2,"Loss of mature forest"
"74",74,5716,1,1,0,1,0,0,2023,"combo_fire_mech",2.3,"past high sev",1,"Loss of mature forest"
"75",75,5723,1,0,1,1,0,0,2023,"combo_fire_mech",0.07,"never high sev",1,"High resistance"
"76",76,5726,1,0,0,1,1,0,2023,"combo_fire_mech",4.92,"never high sev",1,"High resistance"
"77",77,5731,1,1,0,1,0,0,2023,"combo_fire_mech",13.62,"past high sev",1,"Loss of mature forest"
"78",78,5770,1,0,0,0,0,1,2023,"combo_fire_mech",1.19,"never high sev",2,"High resistance"
"79",79,5790,1,0,0,1,0,1,2023,"combo_fire_mech",0.14,"never high sev",2,"High resistance"
"80",80,5813,1,0,0,1,0,1,2023,"combo_fire_mech",1.59,"never high sev",1,"High resistance"
"81",81,5850,1,0,0,1,0,0,2023,"combo_fire_mech",0.24,"never high sev",1,"High resistance"
"82",82,6158,1,1,0,1,0,0,2024,"combo_fire_mech",0.09,"past high sev",2,"Loss of mature forest"
"83",83,6160,1,0,0,1,1,0,2024,"combo_fire_mech",0.03,"never high sev",2,"High resistance"
"84",84,6166,1,1,0,1,0,0,2024,"combo_fire_mech",0.27,"past high sev",4,"Loss of mature forest"
"85",85,6175,1,0,0,1,1,0,2024,"combo_fire_mech",1.5,"never high sev",4,"High resistance"
"86",86,6176,1,0,1,1,0,0,2024,"combo_fire_mech",8.8,"never high sev",4,"High resistance"
"87",87,6177,1,0,0,1,0,0,2024,"combo_fire_mech",0.3,"never high sev",22,"High resistance"
"88",88,6178,1,0,1,0,0,0,2024,"combo_fire_mech",13.84,"never high sev",4,"High resistance"
"89",89,6180,1,0,0,0,1,0,2024,"combo_fire_mech",3.01,"never high sev",4,"High resistance"
"90",90,6184,1,1,0,0,0,0,2024,"combo_fire_mech",0.42,"past high sev",4,"Loss of mature forest"
"91",91,6204,1,0,1,1,0,0,2024,"combo_fire_mech",2.47,"never high sev",3,"High resistance"
"92",92,6205,1,0,0,1,0,0,2024,"combo_fire_mech",4.61,"never high sev",23,"High resistance"
"93",93,6206,1,0,0,1,1,0,2024,"combo_fire_mech",0.08,"never high sev",3,"High resistance"
"94",94,6260,1,0,0,0,0,0,2024,"combo_fire_mech",0.06,"never high sev",2024,"High resistance"
"95",95,6270,1,0,0,1,0,1,2024,"combo_fire_mech",0.13,"never high sev",1,"High resistance"
"96",96,9,0,1,0,0,0,0,1987,"highsev_fire",0.34,"past high sev",1987,"Loss of mature forest"
"97",97,19,0,1,0,0,0,0,1991,"highsev_fire",1.62,"past high sev",1991,"Loss of mature forest"
"98",98,45,0,1,0,0,0,0,2015,"highsev_fire",142.28,"past high sev",2015,"Loss of mature forest"
"99",99,51,0,1,0,0,0,0,2016,"highsev_fire",0.04,"past high sev",2016,"Loss of mature forest"
"100",100,58,0,1,0,0,0,0,2017,"highsev_fire",51.39,"past high sev",2017,"Loss of mature forest"
"101",101,65,0,1,0,0,0,0,2018,"highsev_fire",0.76,"past high sev",2018,"Loss of mature forest"
"102",102,104,0,1,0,0,1,0,2020,"highsev_fire",0.36,"past high sev",34,"Loss of mature forest"
"103",103,105,0,1,1,0,0,0,2020,"highsev_fire",0.19,"past high sev",34,"Loss of mature forest"
"104",104,107,0,1,0,0,0,0,2020,"highsev_fire",708.44,"past high sev",2020,"Loss of mature forest"
"105",105,161,0,1,1,0,0,0,2021,"highsev_fire",1.23,"past high sev",25,"Loss of mature forest"
"106",106,163,0,1,0,0,1,0,2021,"highsev_fire",0.19,"past high sev",25,"Loss of mature forest"
"107",107,175,0,1,0,0,1,0,2021,"highsev_fire",0.74,"past high sev",26,"Loss of mature forest"
"108",108,177,0,1,1,0,0,0,2021,"highsev_fire",4.48,"past high sev",26,"Loss of mature forest"
"109",109,183,0,2,0,0,0,0,2021,"highsev_fire",0.04,"past high sev",26,"Loss of mature forest"
"110",110,185,0,2,0,0,0,0,2021,"highsev_fire",2.46,"past high sev",34,"Loss of mature forest"
"111",111,188,0,1,0,0,1,0,2021,"highsev_fire",7.42,"past high sev",34,"Loss of mature forest"
"112",112,190,0,1,1,0,0,0,2021,"highsev_fire",9.86,"past high sev",34,"Loss of mature forest"
"113",113,198,0,1,0,0,0,0,2021,"highsev_fire",247.95,"past high sev",2021,"Loss of mature forest"
"114",114,203,0,1,0,0,0,0,2022,"highsev_fire",0.03,"past high sev",2022,"Loss of mature forest"
"115",115,208,0,1,1,0,0,0,2024,"lowsev_fire",0,"past high sev",6,"Loss of mature forest"
"116",116,218,0,1,1,0,0,0,2024,"lowsev_fire",0.1,"past high sev",37,"Loss of mature forest"
"117",117,223,0,1,0,0,1,0,2024,"modsev_fire",0.03,"past high sev",6,"Loss of mature forest"
"118",118,240,0,1,0,0,1,0,2024,"modsev_fire",0.02,"past high sev",37,"Loss of mature forest"
"119",119,245,0,1,0,0,1,0,2024,"highsev_fire",0.28,"past high sev",6,"Loss of mature forest"
"120",120,247,0,1,1,0,0,0,2024,"highsev_fire",0.11,"past high sev",6,"Loss of mature forest"
"121",121,264,0,2,0,0,0,0,2024,"highsev_fire",0.35,"past high sev",37,"Loss of mature forest"
"122",122,265,0,1,0,0,1,0,2024,"highsev_fire",0.26,"past high sev",37,"Loss of mature forest"
"123",123,267,0,1,1,0,0,0,2024,"highsev_fire",0.84,"past high sev",37,"Loss of mature forest"
"124",124,268,0,1,0,0,0,0,2024,"highsev_fire",1,"past high sev",2024,"Loss of mature forest"
"125",125,275,0,1,0,1,0,0,2020,"highsev_fire",3.96,"past high sev",69,"Loss of mature forest"
"126",126,284,0,1,0,1,0,0,2020,"highsev_fire",1.33,"past high sev",68,"Loss of mature forest"
"127",127,286,0,1,0,2,0,0,2020,"highsev_fire",0.13,"past high sev",67,"Loss of mature forest"
"128",128,295,0,1,0,1,0,0,2020,"highsev_fire",0.13,"past high sev",67,"Loss of mature forest"
"129",129,300,0,1,0,1,0,0,2020,"highsev_fire",0.04,"past high sev",62,"Loss of mature forest"
"130",130,306,0,1,0,1,0,0,2020,"highsev_fire",0,"past high sev",61,"Loss of mature forest"
"131",131,314,0,1,0,1,0,0,2020,"highsev_fire",1.71,"past high sev",60,"Loss of mature forest"
"132",132,325,0,1,0,1,0,0,2020,"highsev_fire",0.06,"past high sev",59,"Loss of mature forest"
"133",133,330,0,1,0,2,0,0,2020,"highsev_fire",0,"past high sev",58,"Loss of mature forest"
"134",134,334,0,1,0,2,0,0,2020,"highsev_fire",0.03,"past high sev",58,"Loss of mature forest"
"135",135,339,0,1,0,1,0,0,2020,"highsev_fire",0.67,"past high sev",58,"Loss of mature forest"
"136",136,356,0,1,0,1,0,0,2020,"highsev_fire",3.07,"past high sev",55,"Loss of mature forest"
"137",137,358,0,1,0,2,0,0,2020,"highsev_fire",0.65,"past high sev",55,"Loss of mature forest"
"138",138,365,0,1,0,2,0,0,2020,"highsev_fire",0.67,"past high sev",55,"Loss of mature forest"
"139",139,380,0,1,0,2,0,0,2020,"highsev_fire",0.16,"past high sev",53,"Loss of mature forest"
