Year,Fire name,Grove,Severity (ha),,,
,,,Undetected change,Low,Moderate,High
1985,Converse,Converse Mountain,0.4,0,0,0
,,,,,,
1986,Camp Creek,Garfield,74,60.8,2,0
,,,,,,
1986,Muir Grove,Muir,16.8,5.7,0,0
,,,,,,
1987,Case,Case Mountain,5.9,8.4,0.5,0
,,Coffee Pot,0.3,2.5,1.3,0.8
,,Ladybug,0,0.5,0.4,0
,,Monache Tubs,2.6,4.1,0.7,2.7
,,Nutmeg,9.2,8.7,7.9,0.9
,,Salt Creek Ridge,0.2,4.1,4.2,1.7
,,,18.2,28.3,15,6.1
,,,,,,
1987,Pierce,Redwood Mountain,19.5,15.4,9,2.8
,,,,,,
1988,Buckeye,Giant Forest,5.9,4.5,0,0
,,,,,,
1991,Deer Creek,East Fork,61.1,139.2,9,1.7
,,,,,,
1994,Panther,Giant Forest,0.9,0,0,0
,,,,,,
1995,Castle Wildland Fire Use,Castle Creek,17.9,29.3,1,0
,,,,,,
1995,Eden Grove,Eden Creek,0.6,0,0,0
,,,,,,
1996,Castle Complex,Castle Creek,5.2,7.3,0.9,0
,,Redwood Meadow,2.8,6.6,0.7,0
,,,8,13.9,1.6,0
,,,,,,
1997,Amphitheatre,Giant Forest,0.9,0,0,0
,,,,,,
1999,Conifer,New Oriole Lake,0.3,0,0,0
,,,,,,
2002,Circle,Giant Forest,5.6,0.3,0,0
,,,,,,
2003,Giant,Giant Forest,40.1,46.8,2.1,0
,,,,,,
2006,Brown,Mountain Home,0.4,0.3,0,0
,,,,,,
2006,Goliath,Redwood Mountain,0.2,0,0,0
,,,,,,
2008,Hidden,Skagway,1.2,3.4,0.7,0.2
,,,,,,
2009,Lost Grove,Lost,2.8,0.1,0,0
,,,,,,
2010,Sheep Complex,Monarch,0.2,2.7,0.2,0
,,,,,,
2011,Giant,Long Meadow,1.1,3.7,1.1,0
,,,,,,
2013,Rim,Tuolumne,3.7,6.5,0,0
,,,,,,
2015,Rough,Abbott,0,0.2,3.1,0
,,Agnew,0,0.1,3.1,0.9
,,Boulder Creek,0.4,6.9,2.9,0
,,Cabin Creek,0.8,25.8,27.9,6
,,Cherry Gap,0.8,7.2,15.7,2
,,Converse Basin,119.1,199.8,192.5,55.8
,,Converse Mountain,0,0,0.6,12.9
,,Converse Saddle,0,4.6,4.3,0.5
,,Deer Meadow,0.2,4.8,18.7,1.5
,,Evans,4.8,116.4,204.2,62.4
,,General Grant,3.7,16.1,18.4,8.2
,,Hoist Ridge,1.1,5.5,8,5.6
,,Indian Basin,0,0.6,0.1,0
,,Kennedy,0,28.7,33.8,10.8
,,Little Boulder,2.7,17.7,10,0.2
,,Lockwood,0,7.2,8.6,10.8
,,Verplank,0,3.6,2.9,4.2
,,,133.6,445.2,554.8,181.8
,,,,,,
2016,Hidden,Burro Creek,4,0.2,0,0
,,Maggie Mountain,6.1,4,0.5,0
,,Middle Tule,49,23.6,3,0.1
,,Silver Creek,0,0,0,0
,,,59.1,27.8,3.5,0.1
,,,,,,
2016,Meadow,Cunningham,0,3.2,0.9,0
,,Long Meadow,1.1,1.9,0.2,0
,,,1.1,5.1,1.1,0
,,,,,,
2017,Pier,Alder Creek,0.6,9.7,1.9,0
,,Black Mountain,7.1,171,230.3,90.3
,,,7.7,180.7,232.2,90.3
,,,,,,
2017,Railroad,Nelder,3.8,46.3,38.8,24.4
,,,,,,
2018,Alder,Burro Creek,21.3,22.3,1.7,0.1
,,Maggie Mountain,0.1,0,0,0
,,Middle Tule,0.8,0.8,0,0
,,Silver Creek,1.5,13.8,6.1,1.2
,,Wishon,3.7,1,0,0
,,,27.4,37.9,7.8,1.3
,,,,,,
2018,Eden,Coffeepot Canyon,1,0,0,0
,,Eden Creek,58.3,85.8,6.1,0
,,,59.3,85.8,6.1,0
,,,,,,
2018,Tharps,Giant Forest,0.8,0.1,0,0
,,,,,,
2020,Castle,Alder Creek,24,91.4,31,78.7
,,Belknap Camp,3.8,13.6,8.3,14.1
,,Board Camp,0,0.1,1.6,17.8
,,Burro Creek,0.6,1.9,0,0
,,Carr Wilson,0.1,1.3,1.9,2.2
,,Cedar Flat,0,5.1,0.9,0.1
,,Clough Cave,0,0.5,0,0
,,Dennison,0,3.4,2,0
,,Devil's Canyon,0,3.3,0.3,0
,,Dillonwood,69.5,216.3,73.6,65.8
,,Dillonwood - West,0,0,0.8,0.8
,,Forgotten,0,0.2,0.4,0.1
,,Freeman Creek,0.4,81.2,123.1,367.2
,,Garfield,58.8,339.8,71.5,21.8
